fips,name,pop
01001,"Autauga County, Alabama",55639
01003,"Baldwin County, Alabama",218289
01005,"Barbour County, Alabama",25026
01007,"Bibb County, Alabama",22374
01009,"Blount County, Alabama",57755
01011,"Bullock County, Alabama",10173
01013,"Butler County, Alabama",19726
01015,"Calhoun County, Alabama",114324
01017,"Chambers County, Alabama",33427
01019,"Cherokee County, Alabama",26035
01021,"Chilton County, Alabama",44147
01023,"Choctaw County, Alabama",12755
01025,"Clarke County, Alabama",23866
01027,"Clay County, Alabama",13285
01029,"Cleburne County, Alabama",14952
01031,"Coffee County, Alabama",52238
01033,"Colbert County, Alabama",54957
01035,"Conecuh County, Alabama",12219
01037,"Coosa County, Alabama",10696
01039,"Covington County, Alabama",37096
01041,"Crenshaw County, Alabama",13826
01043,"Cullman County, Alabama",83345
01045,"Dale County, Alabama",49293
01047,"Dallas County, Alabama",38184
01049,"DeKalb County, Alabama",71430
01051,"Elmore County, Alabama",81526
01053,"Escambia County, Alabama",36775
01055,"Etowah County, Alabama",102721
01057,"Fayette County, Alabama",16406
01059,"Franklin County, Alabama",31587
01061,"Geneva County, Alabama",26383
01063,"Greene County, Alabama",8221
01065,"Hale County, Alabama",14754
01067,"Henry County, Alabama",17123
01069,"Houston County, Alabama",105319
01071,"Jackson County, Alabama",51765
01073,"Jefferson County, Alabama",658615
01075,"Lamar County, Alabama",13854
01077,"Lauderdale County, Alabama",92870
01079,"Lawrence County, Alabama",32969
01081,"Lee County, Alabama",163461
01083,"Limestone County, Alabama",96921
01085,"Lowndes County, Alabama",9936
01087,"Macon County, Alabama",18437
01089,"Madison County, Alabama",367686
01091,"Marengo County, Alabama",19138
01093,"Marion County, Alabama",29818
01095,"Marshall County, Alabama",96137
01097,"Mobile County, Alabama",413977
01099,"Monroe County, Alabama",21006
01101,"Montgomery County, Alabama",226451
01103,"Morgan County, Alabama",119352
01105,"Perry County, Alabama",9104
01107,"Pickens County, Alabama",20049
01109,"Pike County, Alabama",33274
01111,"Randolph County, Alabama",22732
01113,"Russell County, Alabama",57938
01115,"St. Clair County, Alabama",88929
01117,"Shelby County, Alabama",216350
01119,"Sumter County, Alabama",12595
01121,"Talladega County, Alabama",80244
01123,"Tallapoosa County, Alabama",40450
01125,"Tuscaloosa County, Alabama",208854
01127,"Walker County, Alabama",63802
01129,"Washington County, Alabama",16336
01131,"Wilcox County, Alabama",10552
01133,"Winston County, Alabama",23712
02013,"Aleutians East Borough, Alaska",3389
02016,"Aleutians West Census Area, Alaska",5708
02020,"Anchorage Municipality, Alaska",292090
02050,"Bethel Census Area, Alaska",18263
02060,"Bristol Bay Borough, Alaska",739
02063,"Chugach Census Area, Alaska",6495
02066,"Copper River Census Area, Alaska",2894
02068,"Denali Borough, Alaska",2502
02070,"Dillingham Census Area, Alaska",4934
02090,"Fairbanks North Star Borough, Alaska",98455
02100,"Haines Borough, Alaska",2547
02105,"Hoonah-Angoon Census Area, Alaska",2135
02110,"Juneau City and Borough, Alaska",32099
02122,"Kenai Peninsula Borough, Alaska",58809
02130,"Ketchikan Gateway Borough, Alaska",13833
02150,"Kodiak Island Borough, Alaska",13383
02158,"Kusilvak Census Area, Alaska",8298
02164,"Lake and Peninsula Borough, Alaska",1156
02170,"Matanuska-Susitna Borough, Alaska",107360
02180,"Nome Census Area, Alaska",10009
02185,"North Slope Borough, Alaska",9375
02188,"Northwest Arctic Borough, Alaska",7709
02195,"Petersburg Borough, Alaska",3278
02198,"Prince of Wales-Hyder Census Area, Alaska",6338
02220,"Sitka City and Borough, Alaska",8569
02230,"Skagway Municipality, Alaska",1300
02240,"Southeast Fairbanks Census Area, Alaska",6911
02275,"Wrangell City and Borough, Alaska",2510
02282,"Yakutat City and Borough, Alaska",597
02290,"Yukon-Koyukuk Census Area, Alaska",5305
04001,"Apache County, Arizona",71714
04003,"Cochise County, Arizona",126442
04005,"Coconino County, Arizona",142254
04007,"Gila County, Arizona",53846
04009,"Graham County, Arizona",38304
04011,"Greenlee County, Arizona",9465
04012,"La Paz County, Arizona",21035
04013,"Maricopa County, Arizona",4412779
04015,"Mohave County, Arizona",210998
04017,"Navajo County, Arizona",110271
04019,"Pima County, Arizona",1038476
04021,"Pinal County, Arizona",447559
04023,"Santa Cruz County, Arizona",46594
04025,"Yavapai County, Arizona",232396
04027,"Yuma County, Arizona",211931
05001,"Arkansas County, Arkansas",17761
05003,"Ashley County, Arkansas",20000
05005,"Baxter County, Arkansas",41673
05007,"Benton County, Arkansas",273510
05009,"Boone County, Arkansas",37525
05011,"Bradley County, Arkansas",10805
05013,"Calhoun County, Arkansas",5160
05015,"Carroll County, Arkansas",28062
05017,"Chicot County, Arkansas",10433
05019,"Clark County, Arkansas",22341
05021,"Clay County, Arkansas",14710
05023,"Cleburne County, Arkansas",25063
05025,"Cleveland County, Arkansas",8063
05027,"Columbia County, Arkansas",23620
05029,"Conway County, Arkansas",20895
05031,"Craighead County, Arkansas",109081
05033,"Crawford County, Arkansas",63118
05035,"Crittenden County, Arkansas",48381
05037,"Cross County, Arkansas",16576
05039,"Dallas County, Arkansas",7114
05041,"Desha County, Arkansas",11538
05043,"Drew County, Arkansas",18263
05045,"Faulkner County, Arkansas",124800
05047,"Franklin County, Arkansas",17785
05049,"Fulton County, Arkansas",12301
05051,"Garland County, Arkansas",99043
05053,"Grant County, Arkansas",18229
05055,"Greene County, Arkansas",45197
05057,"Hempstead County, Arkansas",21695
05059,"Hot Spring County, Arkansas",33667
05061,"Howard County, Arkansas",13267
05063,"Independence County, Arkansas",37585
05065,"Izard County, Arkansas",13596
05067,"Jackson County, Arkansas",16908
05069,"Jefferson County, Arkansas",68123
05071,"Johnson County, Arkansas",26475
05073,"Lafayette County, Arkansas",6728
05075,"Lawrence County, Arkansas",16511
05077,"Lee County, Arkansas",8963
05079,"Lincoln County, Arkansas",13278
05081,"Little River County, Arkansas",12345
05083,"Logan County, Arkansas",21619
05085,"Lonoke County, Arkansas",73163
05087,"Madison County, Arkansas",16393
05089,"Marion County, Arkansas",16586
05091,"Miller County, Arkansas",43515
05093,"Mississippi County, Arkansas",41396
05095,"Monroe County, Arkansas",6879
05097,"Montgomery County, Arkansas",8964
05099,"Nevada County, Arkansas",8249
05101,"Newton County, Arkansas",7753
05103,"Ouachita County, Arkansas",23597
05105,"Perry County, Arkansas",10342
05107,"Phillips County, Arkansas",18151
05109,"Pike County, Arkansas",10714
05111,"Poinsett County, Arkansas",23747
05113,"Polk County, Arkansas",19999
05115,"Pope County, Arkansas",63926
05117,"Prairie County, Arkansas",8138
05119,"Pulaski County, Arkansas",393078
05121,"Randolph County, Arkansas",17934
05123,"St. Francis County, Arkansas",25477
05125,"Saline County, Arkansas",120990
05127,"Scott County, Arkansas",10269
05129,"Searcy County, Arkansas",7898
05131,"Sebastian County, Arkansas",127670
05133,"Sevier County, Arkansas",16947
05135,"Sharp County, Arkansas",17217
05137,"Stone County, Arkansas",12582
05139,"Union County, Arkansas",39089
05141,"Van Buren County, Arkansas",16578
05143,"Washington County, Arkansas",236198
05145,"White County, Arkansas",78725
