Movie Title,House,Points Awarded,Points Deducted,Final Points,Who won
Harry Potter and the Sorcerer's Stone,Gryffindor,50,-10,40,
Harry Potter and the Sorcerer's Stone,Slytherin,20,-5,15,
Harry Potter and the Sorcerer's Stone,Hufflepuff,30,0,30,
Harry Potter and the Sorcerer's Stone,Ravenclaw,40,-15,25,Gryffindor
Harry Potter and the Chamber of Secrets,Gryffindor,60,-20,40,
Harry Potter and the Chamber of Secrets,Slytherin,10,-5,5,
Harry Potter and the Chamber of Secrets,Hufflepuff,25,0,25,
Harry Potter and the Chamber of Secrets,Ravenclaw,35,-10,25,Gryffindor
Harry Potter and the Prisoner of Azkaban,Gryffindor,70,-15,55,
Harry Potter and the Prisoner of Azkaban,Slytherin,15,-10,5,
Harry Potter and the Prisoner of Azkaban,Hufflepuff,20,0,20,
Harry Potter and the Prisoner of Azkaban,Ravenclaw,25,-5,20,Gryffindor
Harry Potter and the Goblet of Fire,Gryffindor,80,-25,55,
Harry Potter and the Goblet of Fire,Slytherin,10,-20,-10,
Harry Potter and the Goblet of Fire,Hufflepuff,30,-5,25,
Harry Potter and the Goblet of Fire,Ravenclaw,15,-10,5,Gryffindor
Harry Potter and the Order of the Phoenix,Gryffindor,90,-30,60,
Harry Potter and the Order of the Phoenix,Slytherin,5,-15,-10,
Harry Potter and the Order of the Phoenix,Hufflepuff,25,-10,15,
Harry Potter and the Order of the Phoenix,Ravenclaw,10,-5,5,Gryffindor
Harry Potter and the Half-Blood Prince,Gryffindor,100,-40,60,
Harry Potter and the Half-Blood Prince,Slytherin,0,-20,-20,
Harry Potter and the Half-Blood Prince,Hufflepuff,20,-5,15,
Harry Potter and the Half-Blood Prince,Ravenclaw,15,-10,5,Gryffindor
Harry Potter and the Deathly Hallows Part 1,Gryffindor,80,-35,45,
Harry Potter and the Deathly Hallows Part 1,Slytherin,10,-10,0,
Harry Potter and the Deathly Hallows Part 1,Hufflepuff,25,-5,20,
Harry Potter and the Deathly Hallows Part 1,Ravenclaw,20,-15,5,Gryffindor
Harry Potter and the Deathly Hallows Part 2,Gryffindor,120,-50,70,
Harry Potter and the Deathly Hallows Part 2,Slytherin,5,-25,-20,
Harry Potter and the Deathly Hallows Part 2,Hufflepuff,30,-10,20,
Harry Potter and the Deathly Hallows Part 2,Ravenclaw,25,-20,5,Gryffindor
