ID,Key,Guess,Text,Definition,Truth
1,Midterm Gains,Certainly False,Certainly,"After the midterm elections, the incumbent party holds more seats in the US House of Representatives than after the previous midterm elections.",FALSE
2,No Primary Contest,Certainly True,Certainly,There is no serious contest for the incumbent party nomination.,TRUE
3,Incumbant Seeking Re-Election,Certainly False,Certainly,The incumbent party candidate is the sitting president.,FALSE
4,No Third Party Candidate,Certainly True,Certainly,There is no significant third party or independent campaign.,TRUE
5,Strong Short-Term Economy,Certainly True,Certainly,The economy is not in recession during the election campaign.,TRUE
6,Strong Long- Term Economy,Certainly True,Certainly,Real per capita economic growth during the term equals or exceeds mean growth during the previous two terms.,TRUE
7,Major Policy Change,Certainly True,Certainly,The incumbent administration effects major changes in national policy.,TRUE
8,No Social Unrest,Likely True,Likely,There is no sustained social unrest during the term.,TRUE
9,No Scandal,Certainly True,Certainly,The incumbent administration is untainted by major scandal.,TRUE
10,No Foreign/Military Failure,Likely False,Likely,The incumbent administration suffers no major failure in foreign or military affairs.,FALSE
11,Major Foreign/Military Success,Leans False,Leans,The incumbent administration achieves a major success in foreign or military affairs.,FALSE
12,Charis-matic Incumbant,Certainly False,Certainly,"The incumbent party candidate has broad, cross-party charisma or is a national hero.",FALSE
13,Uncharis-matic Challenger,Certainly True,Certainly,"The challenging party candidate lacks broad, cross-party charisma or national hero status.",TRUE
