Sort,Field Name,Field Alias,Type,Relevant Layer,Metric Type,Version,Version Date
1,OBJECTID,OBJECTID,Double,n/a,n/a,1.0.0,2-Dec
2,NRI_ID,National Risk Index ID,String,All,n/a,1.0.0,2-Dec
3,STATE,State Name,String,All,n/a,1.0.0,2-Dec
4,STATEABBRV,State Name Abbreviation,String,All,n/a,1.0.0,2-Dec
5,COUNTY,County Name,String,All,n/a,1.0.0,2-Dec
6,STCOFIPS,State-County FIPS Code,String,All,n/a,1.0.0,2-Dec
7,CFLD_EALT,Coastal Flooding - Expected Annual Loss - Total,Double,CFLD,Value,1.0.0,2-Dec
8,CFLD_EALR,Coastal Flooding - Expected Annual Loss Rating,Double,CFLD,Rating,1.0.0,2-Dec
9,CFLD_RISKV,Coastal Flooding - Hazard Type Risk Index Value,String,CFLD,Value,1.0.0,2-Dec
10,CFLD_RISKR,Coastal Flooding - Hazard Type Risk Index Rating,String,CFLD,Rating,1.0.0,2-Dec
11,CFLD_RISKS,Coastal Flooding - Hazard Type Risk Index Score,Double,CFLD,Score,1.0.0,2-Dec
12,CFLD_MID_LOWER_HM,Coastal Flooding - Mid-Century Lower Mean Global Temperature Hazard Multiplier,Double,CFLD,Value,1.0.0,2-Dec
13,CFLD_MID_LOWER_PRISKS,Coastal Flooding - Mid-Century Lower Mean Global Temperature Projected Risk Index Score,Double,CFLD,Score,1.0.0,2-Dec
14,CFLD_MID_LOWER_PRISKR,Coastal Flooding - Mid-Century Lower Mean Global Temperature Projected Risk Rating,String,CFLD,Rating,1.0.0,2-Dec
15,CFLD_MID_LOWER_PALR,Coastal Flooding - Mid-Century Lower Mean Global Temperature Projected Annual Loss Rating,String,CFLD,Rating,1.0.0,2-Dec
16,CFLD_MID_LOWER_DELTAR,Coastal Flooding - Mid-Century Lower Mean Global Temperature Delta Rating,String,CFLD,Rating,1.0.0,2-Dec
17,CFLD_MID_HIGHER_HM,Coastal Flooding - Mid-Century Higher Mean Global Temperature Hazard Multiplier,Double,CFLD,Value,1.0.0,2-Dec
18,CFLD_MID_HIGHER_PRISKS,Coastal Flooding - Mid-Century Higher Mean Global Temperature Projected Risk Index Score,Double,CFLD,Score,1.0.0,2-Dec
19,CFLD_MID_HIGHER_PRISKR,Coastal Flooding - Mid-Century Higher Mean Global Temperature Projected Risk Rating,String,CFLD,Rating,1.0.0,2-Dec
20,CFLD_MID_HIGHER_PALR,Coastal Flooding - Mid-Century Higher Mean Global Temperature Projected Annual Loss Rating,String,CFLD,Rating,1.0.0,2-Dec
21,CFLD_MID_HIGHER_DELTAR,Coastal Flooding - Mid-Century Higher Mean Global Temperature Delta Rating,String,CFLD,Rating,1.0.0,2-Dec
22,CFLD_LATE_LOWER_HM,Coastal Flooding - Late-Century Lower Mean Global Temperature Hazard Multiplier,Double,CFLD,Value,1.0.0,2-Dec
23,CFLD_LATE_LOWER_PRISKS,Coastal Flooding - Late-Century Lower Mean Global Temperature Projected Risk Index Score,Double,CFLD,Score,1.0.0,2-Dec
24,CFLD_LATE_LOWER_PRISKR,Coastal Flooding - Late-Century Lower Mean Global Temperature Projected Risk Rating,String,CFLD,Rating,1.0.0,2-Dec
25,CFLD_LATE_LOWER_PALR,Coastal Flooding - Late-Century Lower Mean Global Temperature Projected Annual Loss Rating,String,CFLD,Rating,1.0.0,2-Dec
26,CFLD_LATE_LOWER_DELTAR,Coastal Flooding - Late-Century Lower Mean Global Temperature Delta Rating,String,CFLD,Rating,1.0.0,2-Dec
27,CFLD_LATE_HIGHER_HM,Coastal Flooding - Late-Century Higher Mean Global Temperature Hazard Multiplier,Double,CFLD,Value,1.0.0,2-Dec
28,CFLD_LATE_HIGHER_PRISKS,Coastal Flooding - Late-Century Higher Mean Global Temperature Projected Risk Index Score,Double,CFLD,Score,1.0.0,2-Dec
29,CFLD_LATE_HIGHER_PRISKR,Coastal Flooding - Late-Century Higher Mean Global Temperature Projected Risk Rating,String,CFLD,Rating,1.0.0,2-Dec
30,CFLD_LATE_HIGHER_PALR,Coastal Flooding - Late-Century Higher Mean Global Temperature Projected Annual Loss Rating,String,CFLD,Rating,1.0.0,2-Dec
31,CFLD_LATE_HIGHER_DELTAR,Coastal Flooding - Late-Century Higher Mean Global Temperature Delta Rating,String,CFLD,Rating,1.0.0,2-Dec
32,DRGT_EALT,Drought - Expected Annual Loss - Total,Double,DRGT,Value,1.0.0,2-Dec
33,DRGT_EALR,Drought - Expected Annual Loss Rating,Double,DRGT,Rating,1.0.0,2-Dec
34,DRGT_RISKV,Drought - Hazard Type Risk Index Value,String,DRGT,Value,1.0.0,2-Dec
35,DRGT_RISKR,Drought - Hazard Type Risk Index Rating,String,DRGT,Rating,1.0.0,2-Dec
36,DRGT_RISKS,Drought - Hazard Type Risk Index Score,Double,DRGT,Score,1.0.0,2-Dec
37,DRGT_MID_LOWER_HM,Drought - Mid-Century Lower Mean Global Temperature Hazard Multiplier,Double,DRGT,Value,1.0.0,2-Dec
38,DRGT_MID_LOWER_PRISKS,Drought - Mid-Century Lower Mean Global Temperature Projected Risk Index Score,Double,DRGT,Score,1.0.0,2-Dec
39,DRGT_MID_LOWER_PRISKR,Drought - Mid-Century Lower Mean Global Temperature Projected Risk Rating,String,DRGT,Rating,1.0.0,2-Dec
40,DRGT_MID_LOWER_PALR,Drought - Mid-Century Lower Mean Global Temperature Projected Annual Loss Rating,String,DRGT,Rating,1.0.0,2-Dec
41,DRGT_MID_LOWER_DELTAR,Drought - Mid-Century Lower Mean Global Temperature Delta Rating,String,DRGT,Rating,1.0.0,2-Dec
42,DRGT_MID_HIGHER_HM,Drought - Mid-Century Higher Mean Global Temperature Hazard Multiplier,Double,DRGT,Value,1.0.0,2-Dec
43,DRGT_MID_HIGHER_PRISKS,Drought - Mid-Century Higher Mean Global Temperature Projected Risk Index Score,Double,DRGT,Score,1.0.0,2-Dec
44,DRGT_MID_HIGHER_PRISKR,Drought - Mid-Century Higher Mean Global Temperature Projected Risk Rating,String,DRGT,Rating,1.0.0,2-Dec
45,DRGT_MID_HIGHER_PALR,Drought - Mid-Century Higher Mean Global Temperature Projected Annual Loss Rating,String,DRGT,Rating,1.0.0,2-Dec
46,DRGT_MID_HIGHER_DELTAR,Drought - Mid-Century Higher Mean Global Temperature Delta Rating,String,DRGT,Rating,1.0.0,2-Dec
47,DRGT_LATE_LOWER_HM,Drought - Late-Century Lower Mean Global Temperature Hazard Multiplier,Double,DRGT,Value,1.0.0,2-Dec
48,DRGT_LATE_LOWER_PRISKS,Drought - Late-Century Lower Mean Global Temperature Projected Risk Index Score,Double,DRGT,Score,1.0.0,2-Dec
49,DRGT_LATE_LOWER_PRISKR,Drought - Late-Century Lower Mean Global Temperature Projected Risk Rating,String,DRGT,Rating,1.0.0,2-Dec
50,DRGT_LATE_LOWER_PALR,Drought - Late-Century Lower Mean Global Temperature Projected Annual Loss Rating,String,DRGT,Rating,1.0.0,2-Dec
51,DRGT_LATE_LOWER_DELTAR,Drought - Late-Century Lower Mean Global Temperature Delta Rating,String,DRGT,Rating,1.0.0,2-Dec
52,DRGT_LATE_HIGHER_HM,Drought - Late-Century Higher Mean Global Temperature Hazard Multiplier,Double,DRGT,Value,1.0.0,2-Dec
53,DRGT_LATE_HIGHER_PRISKS,Drought - Late-Century Higher Mean Global Temperature Projected Risk Index Score,Double,DRGT,Score,1.0.0,2-Dec
54,DRGT_LATE_HIGHER_PRISKR,Drought - Late-Century Higher Mean Global Temperature Projected Risk Rating,String,DRGT,Rating,1.0.0,2-Dec
55,DRGT_LATE_HIGHER_PALR,Drought - Late-Century Higher Mean Global Temperature Projected Annual Loss Rating,String,DRGT,Rating,1.0.0,2-Dec
56,DRGT_LATE_HIGHER_DELTAR,Drought - Late-Century Higher Mean Global Temperature Delta Rating,String,DRGT,Rating,1.0.0,2-Dec
57,EXHT_EALT,Extreme Heat - Expected Annual Loss - Total,Double,EXHT,Value,1.0.0,2-Dec
58,EXHT_EALR,Extreme Heat - Expected Annual Loss Rating,Double,EXHT,Rating,1.0.0,2-Dec
59,EXHT_RISKV,Extreme Heat - Hazard Type Risk Index Value,String,EXHT,Value,1.0.0,2-Dec
60,EXHT_RISKR,Extreme Heat - Hazard Type Risk Index Rating,String,EXHT,Rating,1.0.0,2-Dec
61,EXHT_RISKS,Extreme Heat - Hazard Type Risk Index Score,Double,EXHT,Score,1.0.0,2-Dec
62,EXHT_L95_MID_LOWER_HM,Extreme Heat (LOCA 95th) - Mid-Century Lower Mean Global Temperature Hazard Multiplier,Double,EXHT,Value,1.0.0,2-Dec
63,EXHT_L95_MID_LOWER_PRISKS,Extreme Heat (LOCA 95th) - Mid-Century Lower Mean Global Temperature Projected Risk Index Score,Double,EXHT,Score,1.0.0,2-Dec
64,EXHT_L95_MID_LOWER_PRISKR,Extreme Heat (LOCA 95th) - Mid-Century Lower Mean Global Temperature Projected Risk Rating,String,EXHT,Rating,1.0.0,2-Dec
65,EXHT_L95_MID_LOWER_PALR,Extreme Heat (LOCA 95th) - Mid-Century Lower Mean Global Temperature Projected Annual Loss Rating,String,EXHT,Rating,1.0.0,2-Dec
66,EXHT_L95_MID_LOWER_DELTAR,Extreme Heat (LOCA 95th) - Mid-Century Lower Mean Global Temperature Delta Rating,String,EXHT,Rating,1.0.0,2-Dec
67,EXHT_L95_MID_HIGHER_HM,Extreme Heat (LOCA 95th) - Mid-Century Higher Mean Global Temperature Hazard Multiplier,Double,EXHT,Value,1.0.0,2-Dec
68,EXHT_L95_MID_HIGHER_PRISKS,Extreme Heat (LOCA 95th) - Mid-Century Higher Mean Global Temperature Projected Risk Index Score,Double,EXHT,Score,1.0.0,2-Dec
69,EXHT_L95_MID_HIGHER_PRISKR,Extreme Heat (LOCA 95th) - Mid-Century Higher Mean Global Temperature Projected Risk Rating,String,EXHT,Rating,1.0.0,2-Dec
70,EXHT_L95_MID_HIGHER_PALR,Extreme Heat (LOCA 95th)- Mid-Century Higher Mean Global Temperature Projected Annual Loss Rating,String,EXHT,Rating,1.0.0,2-Dec
71,EXHT_L95_MID_HIGHER_DELTAR,Extreme Heat (LOCA 95th) - Mid-Century Higher Mean Global Temperature Delta Rating,String,EXHT,Rating,1.0.0,2-Dec
72,EXHT_L95_LATE_LOWER_HM,Extreme Heat (LOCA 95th) - Late-Century Lower Mean Global Temperature Hazard Multiplier,Double,EXHT,Value,1.0.0,2-Dec
73,EXHT_L95_LATE_LOWER_PRISKS,Extreme Heat (LOCA 95th) - Late-Century Lower Mean Global Temperature Projected Risk Index Score,Double,EXHT,Score,1.0.0,2-Dec
74,EXHT_L95_LATE_LOWER_PRISKR,Extreme Heat (LOCA 95th) - Late-Century Lower Mean Global Temperature Projected Risk Rating,String,EXHT,Rating,1.0.0,2-Dec
75,EXHT_L95_LATE_LOWER_PALR,Extreme Heat (LOCA 95th) - Late-Century Lower Mean Global Temperature Projected Annual Loss Rating,String,EXHT,Rating,1.0.0,2-Dec
76,EXHT_L95_LATE_LOWER_DELTAR,Extreme Heat (LOCA 95th) - Late-Century Lower Mean Global Temperature Delta Rating,String,EXHT,Rating,1.0.0,2-Dec
77,EXHT_L95_LATE_HIGHER_HM,Extreme Heat (LOCA 95th) - Late-Century Higher Mean Global Temperature Hazard Multiplier,Double,EXHT,Value,1.0.0,2-Dec
78,EXHT_L95_LATE_HIGHER_PRISKS,Extreme Heat (LOCA 95th) - Late-Century Higher Mean Global Temperature Projected Risk Index Score,Double,EXHT,Score,1.0.0,2-Dec
79,EXHT_L95_LATE_HIGHER_PRISKR,Extreme Heat (LOCA 95th) - Late-Century Higher Mean Global Temperature Projected Risk Rating,String,EXHT,Rating,1.0.0,2-Dec
80,EXHT_L95_LATE_HIGHER_PALR,Extreme Heat (LOCA 95th) - Late-Century Higher Mean Global Temperature Projected Annual Loss Rating,String,EXHT,Rating,1.0.0,2-Dec
81,EXHT_L95_LATE_HIGHER_DELTAR,Extreme Heat (LOCA 95th) - Late-Century Higher Mean Global Temperature Delta Rating,String,EXHT,Rating,1.0.0,2-Dec
82,EXHT_L99_MID_LOWER_HM,Extreme Heat (LOCA 99th) - Mid-Century Lower Mean Global Temperature Hazard Multiplier,Double,EXHT,Value,1.0.0,2-Dec
83,EXHT_L99_MID_LOWER_PRISKS,Extreme Heat (LOCA 99th) - Mid-Century Lower Mean Global Temperature Projected Risk Index Score,Double,EXHT,Score,1.0.0,2-Dec
84,EXHT_L99_MID_LOWER_PRISKR,Extreme Heat (LOCA 99th) - Mid-Century Lower Mean Global Temperature Projected Risk Rating,String,EXHT,Rating,1.0.0,2-Dec
85,EXHT_L99_MID_LOWER_PALR,Extreme Heat (LOCA 99th) - Mid-Century Lower Mean Global Temperature Projected Annual Loss Rating,String,EXHT,Rating,1.0.0,2-Dec
86,EXHT_L99_MID_LOWER_DELTAR,Extreme Heat (LOCA 99th) - Mid-Century Lower Mean Global Temperature Delta Rating,String,EXHT,Rating,1.0.0,2-Dec
87,EXHT_L99_MID_HIGHER_HM,Extreme Heat (LOCA 99th) - Mid-Century Higher Mean Global Temperature Hazard Multiplier,Double,EXHT,Value,1.0.0,2-Dec
88,EXHT_L99_MID_HIGHER_PRISKS,Extreme Heat (LOCA 99th) - Mid-Century Higher Mean Global Temperature Projected Risk Index Score,Double,EXHT,Score,1.0.0,2-Dec
89,EXHT_L99_MID_HIGHER_PRISKR,Extreme Heat (LOCA 99th) - Mid-Century Higher Mean Global Temperature Projected Risk Rating,String,EXHT,Rating,1.0.0,2-Dec
90,EXHT_L99_MID_HIGHER_PALR,Extreme Heat (LOCA 99th)- Mid-Century Higher Mean Global Temperature Projected Annual Loss Rating,String,EXHT,Rating,1.0.0,2-Dec
91,EXHT_L99_MID_HIGHER_DELTAR,Extreme Heat (LOCA 99th) - Mid-Century Higher Mean Global Temperature Delta Rating,String,EXHT,Rating,1.0.0,2-Dec
92,EXHT_L99_LATE_LOWER_HM,Extreme Heat (LOCA 99th) - Late-Century Lower Mean Global Temperature Hazard Multiplier,Double,EXHT,Value,1.0.0,2-Dec
93,EXHT_L99_LATE_LOWER_PRISKS,Extreme Heat (LOCA 99th) - Late-Century Lower Mean Global Temperature Projected Risk Index Score,Double,EXHT,Score,1.0.0,2-Dec
94,EXHT_L99_LATE_LOWER_PRISKR,Extreme Heat (LOCA 99th) - Late-Century Lower Mean Global Temperature Projected Risk Rating,String,EXHT,Rating,1.0.0,2-Dec
95,EXHT_L99_LATE_LOWER_PALR,Extreme Heat (LOCA 99th) - Late-Century Lower Mean Global Temperature Projected Annual Loss Rating,String,EXHT,Rating,1.0.0,2-Dec
96,EXHT_L99_LATE_LOWER_DELTAR,Extreme Heat (LOCA 99th) - Late-Century Lower Mean Global Temperature Delta Rating,String,EXHT,Rating,1.0.0,2-Dec
97,EXHT_L99_LATE_HIGHER_HM,Extreme Heat (LOCA 99th) - Late-Century Higher Mean Global Temperature Hazard Multiplier,Double,EXHT,Value,1.0.0,2-Dec
98,EXHT_L99_LATE_HIGHER_PRISKS,Extreme Heat (LOCA 99th) - Late-Century Higher Mean Global Temperature Projected Risk Index Score,Double,EXHT,Score,1.0.0,2-Dec
99,EXHT_L99_LATE_HIGHER_PRISKR,Extreme Heat (LOCA 99th) - Late-Century Higher Mean Global Temperature Projected Risk Rating,String,EXHT,Rating,1.0.0,2-Dec
100,EXHT_L99_LATE_HIGHER_PALR,Extreme Heat (LOCA 99th) - Late-Century Higher Mean Global Temperature Projected Annual Loss Rating,String,EXHT,Rating,1.0.0,2-Dec
101,EXHT_L99_LATE_HIGHER_DELTAR,Extreme Heat (LOCA 99th) - Late-Century Higher Mean Global Temperature Delta Rating,String,EXHT,Rating,1.0.0,2-Dec
102,EXHT_N95_MID_LOWER_HM,Extreme Heat (NEX 95th) - Mid-Century Lower Mean Global Temperature Hazard Multiplier,Double,EXHT,Value,1.0.0,2-Dec
103,EXHT_N95_MID_LOWER_PRISKS,Extreme Heat (NEX 95th) - Mid-Century Lower Mean Global Temperature Projected Risk Index Score,Double,EXHT,Score,1.0.0,2-Dec
104,EXHT_N95_MID_LOWER_PRISKR,Extreme Heat (NEX 95th) - Mid-Century Lower Mean Global Temperature Projected Risk Rating,String,EXHT,Rating,1.0.0,2-Dec
105,EXHT_N95_MID_LOWER_PALR,Extreme Heat (NEX 95th) - Mid-Century Lower Mean Global Temperature Projected Annual Loss Rating,String,EXHT,Rating,1.0.0,2-Dec
106,EXHT_N95_MID_LOWER_DELTAR,Extreme Heat (NEX 95th) - Mid-Century Lower Mean Global Temperature Delta Rating,String,EXHT,Rating,1.0.0,2-Dec
107,EXHT_N95_MID_HIGHER_HM,Extreme Heat (NEX 95th) - Mid-Century Higher Mean Global Temperature Hazard Multiplier,Double,EXHT,Value,1.0.0,2-Dec
108,EXHT_N95_MID_HIGHER_PRISKS,Extreme Heat (NEX 95th) - Mid-Century Higher Mean Global Temperature Projected Risk Index Score,Double,EXHT,Score,1.0.0,2-Dec
109,EXHT_N95_MID_HIGHER_PRISKR,Extreme Heat (NEX 95th) - Mid-Century Higher Mean Global Temperature Projected Risk Rating,String,EXHT,Rating,1.0.0,2-Dec
110,EXHT_N95_MID_HIGHER_PALR,Extreme Heat (NEX 95th)- Mid-Century Higher Mean Global Temperature Projected Annual Loss Rating,String,EXHT,Rating,1.0.0,2-Dec
111,EXHT_N95_MID_HIGHER_DELTAR,Extreme Heat (NEX 95th) - Mid-Century Higher Mean Global Temperature Delta Rating,String,EXHT,Rating,1.0.0,2-Dec
112,EXHT_N95_LATE_LOWER_HM,Extreme Heat (NEX 95th) - Late-Century Lower Mean Global Temperature Hazard Multiplier,Double,EXHT,Value,1.0.0,2-Dec
113,EXHT_N95_LATE_LOWER_PRISKS,Extreme Heat (NEX 95th) - Late-Century Lower Mean Global Temperature Projected Risk Index Score,Double,EXHT,Score,1.0.0,2-Dec
114,EXHT_N95_LATE_LOWER_PRISKR,Extreme Heat (NEX 95th) - Late-Century Lower Mean Global Temperature Projected Risk Rating,String,EXHT,Rating,1.0.0,2-Dec
115,EXHT_N95_LATE_LOWER_PALR,Extreme Heat (NEX 95th) - Late-Century Lower Mean Global Temperature Projected Annual Loss Rating,String,EXHT,Rating,1.0.0,2-Dec
116,EXHT_N95_LATE_LOWER_DELTAR,Extreme Heat (NEX 95th) - Late-Century Lower Mean Global Temperature Delta Rating,String,EXHT,Rating,1.0.0,2-Dec
117,EXHT_N95_LATE_HIGHER_HM,Extreme Heat (NEX 95th) - Late-Century Higher Mean Global Temperature Hazard Multiplier,Double,EXHT,Value,1.0.0,2-Dec
118,EXHT_N95_LATE_HIGHER_PRISKS,Extreme Heat (NEX 95th) - Late-Century Higher Mean Global Temperature Projected Risk Index Score,Double,EXHT,Score,1.0.0,2-Dec
119,EXHT_N95_LATE_HIGHER_PRISKR,Extreme Heat (NEX 95th) - Late-Century Higher Mean Global Temperature Projected Risk Rating,String,EXHT,Rating,1.0.0,2-Dec
120,EXHT_N95_LATE_HIGHER_PALR,Extreme Heat (NEX 95th) - Late-Century Higher Mean Global Temperature Projected Annual Loss Rating,String,EXHT,Rating,1.0.0,2-Dec
121,EXHT_N95_LATE_HIGHER_DELTAR,Extreme Heat (NEX 95th) - Late-Century Higher Mean Global Temperature Delta Rating,String,EXHT,Rating,1.0.0,2-Dec
122,EXHT_N99_MID_LOWER_HM,Extreme Heat (NEX 99th) - Mid-Century Lower Mean Global Temperature Hazard Multiplier,Double,EXHT,Value,1.0.0,2-Dec
123,EXHT_N99_MID_LOWER_PRISKS,Extreme Heat (NEX 99th) - Mid-Century Lower Mean Global Temperature Projected Risk Index Score,Double,EXHT,Score,1.0.0,2-Dec
124,EXHT_N99_MID_LOWER_PRISKR,Extreme Heat (NEX 99th) - Mid-Century Lower Mean Global Temperature Projected Risk Rating,String,EXHT,Rating,1.0.0,2-Dec
125,EXHT_N99_MID_LOWER_PALR,Extreme Heat (NEX 99th) - Mid-Century Lower Mean Global Temperature Projected Annual Loss Rating,String,EXHT,Rating,1.0.0,2-Dec
126,EXHT_N99_MID_LOWER_DELTAR,Extreme Heat (NEX 99th) - Mid-Century Lower Mean Global Temperature Delta Rating,String,EXHT,Rating,1.0.0,2-Dec
127,EXHT_N99_MID_HIGHER_HM,Extreme Heat (NEX 99th) - Mid-Century Higher Mean Global Temperature Hazard Multiplier,Double,EXHT,Value,1.0.0,2-Dec
128,EXHT_N99_MID_HIGHER_PRISKS,Extreme Heat (NEX 99th) - Mid-Century Higher Mean Global Temperature Projected Risk Index Score,Double,EXHT,Score,1.0.0,2-Dec
129,EXHT_N99_MID_HIGHER_PRISKR,Extreme Heat (NEX 99th) - Mid-Century Higher Mean Global Temperature Projected Risk Rating,String,EXHT,Rating,1.0.0,2-Dec
130,EXHT_N99_MID_HIGHER_PALR,Extreme Heat (NEX 99th)- Mid-Century Higher Mean Global Temperature Projected Annual Loss Rating,String,EXHT,Rating,1.0.0,2-Dec
131,EXHT_N99_MID_HIGHER_DELTAR,Extreme Heat (NEX 99th) - Mid-Century Higher Mean Global Temperature Delta Rating,String,EXHT,Rating,1.0.0,2-Dec
132,EXHT_N99_LATE_LOWER_HM,Extreme Heat (NEX 99th) - Late-Century Lower Mean Global Temperature Hazard Multiplier,Double,EXHT,Value,1.0.0,2-Dec
133,EXHT_N99_LATE_LOWER_PRISKS,Extreme Heat (NEX 99th) - Late-Century Lower Mean Global Temperature Projected Risk Index Score,Double,EXHT,Score,1.0.0,2-Dec
