name,area_name,percent_change,year2022,year2100
Burundi,Africa,202.1242363041515,13063.282999999992,39467.34400000003
Comoros,Africa,85.9508801353071,844.3019999999998,1569.987
Djibouti,Africa,48.55212440742546,1128.5499999999997,1676.4849999999997
Eritrea,Africa,131.01986746411387,3715.5220000000013,8583.593999999996
Ethiopia,Africa,159.4904479215443,124937.25900000002,324200.25299999997
Kenya,Africa,106.36735029056406,54555.095000000016,112583.90400000002
Madagascar,Africa,178.68851424966078,29963.345,83504.40100000003
Malawi,Africa,183.70249012915465,20664.389999999996,58625.38900000001
Mauritius,Africa,-35.10236928029148,1299.8039999999999,843.542
Mayotte,Africa,311.52189150322044,330.99600000000004,1362.1209999999996
Mozambique,Africa,218.45974785805134,33420.619,106431.21900000001
Reunion,Africa,13.74466753649386,977.9720000000001,1112.3909999999998
Rwanda,Africa,142.96398166000856,13935.012,33857.06
Seychelles,Africa,-3.624592454587801,107.35000000000002,103.45900000000002
Somalia,Africa,272.2136990534024,17865.030000000002,66496.08900000007
South Sudan,Africa,115.79511121194865,10996.794999999998,23730.546000000006
Uganda,Africa,176.04155177130133,47914.973,132265.23500000004
United Republic of Tanzania,Africa,269.63553182292435,66455.89799999996,245644.612
Zambia,Africa,214.26789728655217,20289.612000000012,63763.737
Zimbabwe,Africa,116.21102984862087,16488.131999999998,35649.16
Angola,Africa,268.90852797751756,36128.402,133280.75600000002
Cameroon,Africa,208.76740526467933,28276.86099999999,87309.73000000003
Central African Republic,Africa,232.55586080715568,5657.991999999998,18815.983999999997
Chad,Africa,262.79322414217586,17997.367000000006,65293.22800000001
Congo,Africa,185.25865575321282,6038.295999999996,17224.762000000006
Democratic Republic of the Congo,Africa,331.1461570013233,100606.56599999999,433761.3429999999
Equatorial Guinea,Africa,127.68998630362506,1694.6090000000006,3858.4549999999995
Gabon,Africa,118.59781546416627,2412.778,5274.280000000002
Sao Tome and Principe,Africa,131.86878277381925,229.60399999999998,532.3799999999999
Algeria,Africa,49.71048226782319,45262.85800000001,67763.243
Egypt,Africa,83.58134744303398,111847.40000000004,205330.96400000007
Libya,Africa,23.480069442497914,6849.984000000001,8458.364999999998
Morocco,Africa,16.4640628127367,37651.472,43850.43399999997
Sudan,Africa,199.7984728801785,47486.90899999997,142365.02799999996
Tunisia,Africa,8.902396147163488,12403.537,13507.748999999998
Western Sahara,Africa,93.19172712581228,581.6600000000002,1123.719
Botswana,Africa,57.41394017133005,2653.008999999999,4176.206
Eswatini,Africa,65.2506412292364,1205.8869999999988,1992.7359999999999
Lesotho,Africa,27.829777097687135,2317.337999999999,2962.2479999999996
Namibia,Africa,94.28847322642032,2584.8429999999985,5022.051999999997
South Africa,Africa,23.856783090515822,60140.97099999996,74488.67199999998
Benin,Africa,245.62666811515328,13531.365,46768.00600000001
Burkina Faso,Africa,168.35655420610777,22959.516000000003,61613.365999999995
Cabo Verde,Africa,11.733714224331882,595.7959999999996,665.7049999999999
Cote d'Ivoire,Africa,214.33973981741673,28510.59399999999,89620.127
Gambia,Africa,143.58448450473048,2739.0940000000005,6672.008000000003
