month,failures,total_assets,total_assets_adjusted
2023-05-01,1,229100,229100
2023-04-01,2,319400,319400
2020-11-01,2,204.7,237.190664005872
2020-05-01,1,152.4,179.60552926292115
2020-03-01,1,100.9,117.46446337098068
2019-11-01,3,177.39999999999998,207.68082295396098
2019-06-01,1,36.7,43.40961361347239
2018-01-01,1,166.3,202.5409915054176
2017-11-01,1,34.2,41.85217130391767
2017-06-01,2,1034.4,1279.4193302964338
2017-05-01,1,4740,5862.895362371109
2017-04-01,1,68.2,84.39516507306513
2017-02-01,2,487.6,603.3554024854913
2016-10-01,1,66.3,82.77400358234638
2016-09-01,1,21.4,26.779991375592928
2016-06-01,1,103.3,130.1434163894188
2016-05-01,1,20.7,26.079077630793503
2016-04-01,1,67.1,85.06097446236558
2015-11-01,2,299.09999999999997,379.71494407591706
2015-08-01,1,31.7,40.19305477368779
2015-06-01,1,90,114.61014932426444
2015-03-01,2,6172.3,7895.17117674257
2015-02-01,2,134.4,172.61671850526113
2015-01-01,1,18.8,24.17066203188965
2014-12-01,1,86.4,110.03410033631106
2014-11-01,2,1142.6,1455.1500352345947
2014-08-01,2,241.9,307.45117156573735
2014-07-01,3,561,712.9082687012101
2014-06-01,3,242.89999999999998,309.1316011997796
2014-05-01,1,54.5,69.42712668518222
2014-03-01,2,193.8,247.8112359550562
2014-02-01,3,546.5,700.2342292621006
2014-01-01,1,160.1,205.860883865388
2013-11-01,1,25.5,32.87528406663819
2013-10-01,2,3126.3,4040.105292364608
2013-09-01,4,898.3999999999999,1161.1494822854118
2013-07-01,2,457.5,594.0207791090367
2013-06-01,4,248.29999999999998,322.7474994910467
2013-05-01,6,720.5000000000001,937.7528161431648
2013-04-01,1,258.8,336.26329375500467
2013-03-01,1,58.4,75.88012502044927
2013-02-01,2,147.9,192.31600606195434
2013-01-01,1,42.8,55.86595681188127
2012-12-01,3,1274.1,1662.8747655498955
2012-11-01,4,909.9000000000001,1187.5298885616803
2012-10-01,3,826.6,1078.7521254882392
2012-09-01,1,88.9,116.69695804591203
2012-08-01,8,1153.6999999999998,1515.9481059535844
2012-07-01,7,1161.1,1533.4462410950273
2012-06-01,2,152.6,201.42615696987315
2012-05-01,6,1476.7,1948.642506547507
2012-04-01,5,1397.5000000000002,1840.7867649836237
2012-03-01,4,989.5,1305.9640479512086
2012-02-01,7,2582.4,3413.4471714061724
2012-01-01,2,288.9,383.73021745157837
2011-12-01,5,841.3000000000001,1117.56895708611
2011-11-01,11,3537.4,4703.412224678406
2011-10-01,6,2063.7000000000003,2747.31303148851
2011-09-01,7,3249.7999999999997,4331.921442048225
2011-08-01,13,6349.500000000001,8485.561253347501
2011-07-01,4,750.4000000000001,1005.5296566004034
2011-06-01,5,1918.5,2575.636984777986
2011-05-01,13,6988.9,9403.405621109061
2011-04-01,3,443.7,599.3482183046663
2011-03-01,12,2432.2999999999997,3299.9666783303414
2011-02-01,11,7147.800000000001,9726.152026740754
2011-01-01,8,1591.8,2173.6156342921304
2010-12-01,10,2877.8,3949.9641289311157
2010-11-01,10,4203.3,5783.281187048773
2010-10-01,11,2497.3000000000006,3441.926942519219
2010-09-01,10,5169.899999999999,7150.093691719008
2010-08-01,22,7224.599999999999,10011.950951453913
2010-07-01,8,4855.699999999999,6743.440067200865
2010-06-01,14,6248.5,8680.10938999707
2010-05-01,23,38992.4,54158.619696111244
2010-04-01,19,6966.5,9671.957293536161
2010-03-01,7,4973.4,6905.879961969197
2010-02-01,15,10912.800000000001,15155.177101151176
2010-01-01,16,28857.1,40057.95635602993
2009-12-01,9,15241.2,21174.87862733905
2009-11-01,20,22010.1,30585.672769257006
2009-10-01,11,14371.6,20072.05118007426
2009-09-01,15,43422.9,60786.5890673919
2009-08-01,24,10891.6,15264.886538450675
2009-07-01,9,2762.5000000000005,3882.740587220005
2009-06-01,4,14108.6,19828.32759804545
2009-05-01,11,9674.2,13711.530603987438
2009-04-01,5,2219.3,3149.1618924543177
2009-03-01,10,4793.2,6801.936201258322
2009-02-01,6,2557.1,3632.814632623838
2009-01-01,3,846.5,1208.528330447781
2008-12-01,5,22842.1,32544.588909963637
2008-11-01,4,778.3000000000001,1098.5724666555957
2008-10-01,3,309115,429909.39775623626
2008-09-01,2,1852,2553.7101477085303
2008-08-01,4,35923,49510.58030738754
2008-06-01,2,2154.7,3020.9588271057214
2008-04-01,1,18.7,26.441145384355906
2008-02-01,1,58.5,83.01291569301367
2007-11-01,1,86.7,125.08606338735122
2007-10-01,1,2500,3606.8645728763327
2007-03-01,1,15.8,23.349457953443736
2004-07-01,1,46.4,74.0554796404019
2004-04-01,2,104.39999999999999,168.3277164107335
2004-03-01,1,12.3,19.883440814140336
2003-12-01,1,10.2,16.640224864864862
2003-06-01,1,35,57.75440131219245
2003-03-01,1,1000,1643.834422657952
2003-01-01,1,37,61.15496166484118
2002-12-01,1,69.4,115.40206721763086
2002-10-01,1,12,19.98728476821192
2002-07-01,2,450.20000000000005,754.8553422222222
2002-04-01,1,19,31.98188510875627
2002-03-01,2,734.7,1245.5561921379788
2002-02-01,3,1383.1,2348.8372241108295
2001-10-01,1,30.7,52.02417518248175
2001-08-01,1,2300,3912.95603156708
