Bank Name,"City, State",Date,Assets,Assets (adj.),Acquirer
First Republic Bank,"San Francisco, CA",2023-05-01,229100,229100,"JPMorgan Chase Bank, National Association, to assume all of the deposits and substantially all of the assets of First Republic Bank."
Signature Bank,"New York, NY",2023-03-12,110400,110400,"On Sunday, March 12, 2023, Signature Bank, New York, NY was closed by the New York State Department of Financial Services, which appointed the FDIC as Receiver. On Sunday, March 19, 2023, FDIC entered into a purchase and assumption agreement for substantially all deposits and certain loan portfolios with Flagstar Bank, NA, Hicksville, NY, a wholly owned subsidiary of New York Community Bancorp, Inc., Westbury, NY."
Silicon Valley Bank,"Santa Clara, CA",2023-03-10,209000,209000,"To protect depositors, on Monday, March 13, 2023, the FDIC transferred all the deposits of Silicon Valley Bank to Silicon Valley Bridge Bank, N.A. a full-service 'bridge bank' that was operated by the FDIC as it marketed the institution to potential bidders. On March 26, 2023, the FDIC entered into a purchase and assumption agreement for all deposits and loans of Silicon Valley Bridge Bank, N.A., with First�Citizens Bank & Trust Company, Raleigh, NC. As part of this transaction Silicon Valley Bridge Bank, N.A, was placed into receivership."
Almena State Bank,"Almena, KS",2020-10-23,70,81.00271075444859,Equity Bank has agreed to assume all deposits.
First City Bank of Florida,"Fort Walton Beach, FL",2020-10-16,134.7,156.18795325142344,"United Fidelity Bank, fsb has agreed to assume all deposits."
First State Bank,"Barboursville, WV",2020-04-03,152.4,179.60552926292115, MVB Bank has agreed to assume all deposits excluding certain brokered deposits.retain the remaining assets for later disposition.
Ericson State Bank,"Ericson, NE",2020-02-14,100.9,117.46446337098068,Farmers and Merchants Bank has agreed to assume all deposits.
City National Bank of New Jersey,"Newark, NJ",2019-11-01,120.6,141.18549745348193,Industrial Bank has agreed to assume all deposits.
Resolute Bank,"Maumee, OH",2019-10-25,27.1,31.725762694770815,Buckeye State Bank has agreed to assume all deposits.
Louisa Community Bank,"Louisa, KY",2019-10-25,29.7,34.76956280570823,Kentucky Farmers Bank Corporation has agreed to assume all deposits.
The Enloe State Bank,"Cooper, TX",2019-05-31,36.7,43.40961361347239,"Legend Bank, N.A. has agreed to assume the insured deposits."
Washington Federal Bank for Savings,"Chicago, IL",2017-12-15,166.3,202.5409915054176,Royal Savings Bank has agreed to assume the non-brokered insured deposits.
The Farmers and Merchants State Bank of Argonia,"Argonia, KS",2017-10-13,34.2,41.85217130391767,Conway Bank has agreed to assume all deposits.
Fayette County Bank,"Saint Elmo, IL",2017-05-26,34.4,42.52157452193821,"United Fidelity Bank, fsb has agreed to assume all deposits."
Guaranty Bank,"Milwaukee, WI, (d/b/a BestBank in Georgia & Michigan)",2017-05-05,1000,1236.8977557744956,First-Citizens Bank & Trust Company has agreed to assume all deposits.
