area_code,area_name,country_region,child_poverty,air_pollution,grouping
E07000032,Amber Valley,East Midlands,0.23988533020019531,6.1756,Midlands and North of England
E07000170,Ashfield,East Midlands,0.27329304814338684,6.3142,Midlands and North of England
E07000171,Bassetlaw,East Midlands,0.27829846739768982,5.6045,Midlands and North of England
E07000129,Blaby,East Midlands,0.20438064634799957,6.6414,Midlands and North of England
E07000033,Bolsover,East Midlands,0.27395486831665039,5.9046,Midlands and North of England
E07000136,Boston,East Midlands,0.29985383152961731,6.3742,Midlands and North of England
E07000172,Broxtowe,East Midlands,0.22589243948459625,6.8287,Midlands and North of England
E07000130,Charnwood,East Midlands,0.22095419466495514,6.7606,Midlands and North of England
E07000034,Chesterfield,East Midlands,0.27252805233001709,5.7538,Midlands and North of England
E07000150,Corby,East Midlands,0.28497177362442017,6.3906,Midlands and North of England
E07000151,Daventry,East Midlands,0.20587655901908875,6.2898,Midlands and North of England
E06000015,Derby,East Midlands,0.32808694243431091,7.057,Midlands and North of England
E07000035,Derbyshire Dales,East Midlands,0.20902015268802643,5.1908,Midlands and North of England
E07000137,East Lindsey,East Midlands,0.30035677552223206,5.5311,Midlands and North of England
E07000152,East Northamptonshire,East Midlands,0.21133309602737427,6.5699,Midlands and North of England
E07000036,Erewash,East Midlands,0.22895827889442444,6.8379,Midlands and North of England
E07000173,Gedling,East Midlands,0.22721850872039795,6.8397,Midlands and North of England
E07000131,Harborough,East Midlands,0.16948874294757843,6.1555,Midlands and North of England
E07000037,High Peak,East Midlands,0.21242403984069824,5.4104,Midlands and North of England
E07000132,Hinckley and Bosworth,East Midlands,0.22360682487487793,6.5891,Midlands and North of England
E07000153,Kettering,East Midlands,0.25038844347000122,6.7884,Midlands and North of England
E06000016,Leicester,East Midlands,0.37903028726577759,7.4888,Midlands and North of England
E07000138,Lincoln,East Midlands,0.31551554799079895,5.8611,Midlands and North of England
E07000174,Mansfield,East Midlands,0.28219476342201233,6.2264,Midlands and North of England
E07000133,Melton,East Midlands,0.20868919789791107,5.9902,Midlands and North of England
E07000175,Newark and Sherwood,East Midlands,0.25510555505752563,5.8899,Midlands and North of England
E07000038,North East Derbyshire,East Midlands,0.23560903966426849,5.708,Midlands and North of England
E07000139,North Kesteven,East Midlands,0.2095622718334198,5.6485,Midlands and North of England
E07000134,North West Leicestershire,East Midlands,0.22062014043331146,6.4244,Midlands and North of England
E07000154,Northampton,East Midlands,0.28957563638687134,7.2202,Midlands and North of England
E06000018,Nottingham,East Midlands,0.35684952139854431,7.1711,Midlands and North of England
E07000135,Oadby and Wigston,East Midlands,0.2400171160697937,6.631,Midlands and North of England
E07000176,Rushcliffe,East Midlands,0.15066730976104736,6.3507,Midlands and North of England
E06000017,Rutland,East Midlands,0.17629331350326538,6.1714,Midlands and North of England
E07000039,South Derbyshire,East Midlands,0.22849477827548981,6.3565,Midlands and North of England
E07000140,South Holland,East Midlands,0.2738405168056488,6.3782,Midlands and North of England
E07000141,South Kesteven,East Midlands,0.23418836295604706,6.1992,Midlands and North of England
E07000155,South Northamptonshire,East Midlands,0.1541597843170166,6.5012,Midlands and North of England
E07000156,Wellingborough,East Midlands,0.27897748351097107,6.9455,Midlands and North of England
E07000142,West Lindsey,East Midlands,0.25215950608253479,5.2904,Midlands and North of England
E07000200,Babergh,East of England,0.25400379300117493,6.9589,South East and East of England
E07000066,Basildon,East of England,0.29400315880775452,7.6154,South East and East of England
E06000055,Bedford,East of England,0.28468769788742065,7.0251,South East and East of England
E07000067,Braintree,East of England,0.25512123107910156,7.0643,South East and East of England
E07000143,Breckland,East of England,0.28988116979598999,6.9427,South East and East of England
E07000068,Brentwood,East of England,0.20585854351520538,7.3847,South East and East of England
E07000144,Broadland,East of England,0.23040199279785156,7.0782,South East and East of England
E07000095,Broxbourne,East of England,0.25235772132873535,7.5385,South East and East of England
E07000008,Cambridge,East of England,0.23321616649627686,7.3316,South East and East of England
E07000069,Castle Point,East of England,0.2551535964012146,7.4819,South East and East of England
E06000056,Central Bedfordshire,East of England,0.20634369552135468,6.9565,South East and East of England
E07000070,Chelmsford,East of England,0.20006643235683441,7.3196,South East and East of England
E07000071,Colchester,East of England,0.24617655575275421,7.3027,South East and East of England
E07000096,Dacorum,East of England,0.20986270904541016,6.9601,South East and East of England
E07000009,East Cambridgeshire,East of England,0.18442033231258392,7.1381,South East and East of England
E07000242,East Hertfordshire,East of England,0.16293048858642578,6.9512,South East and East of England
E07000244,East Suffolk,East of England,0.27155274152755737,6.9829,South East and East of England
E07000072,Epping Forest,East of England,0.24644897878170013,7.5952,South East and East of England
E07000010,Fenland,East of England,0.30698037147521973,7.1197,South East and East of England
E07000145,Great Yarmouth,East of England,0.33060336112976074,7.0886,South East and East of England
E07000073,Harlow,East of England,0.32332095503807068,7.2609,South East and East of England
E07000098,Hertsmere,East of England,0.19411346316337585,7.4528,South East and East of England
E07000011,Huntingdonshire,East of England,0.22253561019897461,6.9904,South East and East of England
E07000202,Ipswich,East of England,0.34327119588851929,7.7167,South East and East of England
E07000146,King's Lynn and West Norfolk,East of England,0.29100248217582703,6.9654,South East and East of England
E06000032,Luton,East of England,0.39392858743667603,7.7154,South East and East of England
E07000074,Maldon,East of England,0.23602107167243958,6.9566,South East and East of England
E07000203,Mid Suffolk,East of England,0.22188909351825714,6.9096,South East and East of England
E07000099,North Hertfordshire,East of England,0.19733971357345581,6.939,South East and East of England
E07000147,North Norfolk,East of England,0.29855039715766907,6.4733,South East and East of England
E07000148,Norwich,East of England,0.34932971000671387,7.6879,South East and East of England
E06000031,Peterborough,East of England,0.36211466789245605,7.0092,South East and East of England
E07000075,Rochford,East of England,0.21519915759563446,7.2982,South East and East of England
