Generation,Console,Launch,Units
1st,Magnavox Odyssey,1972,0.35
1st,Atari/Sears Tele-Games Pong,1975,0.15
1st,Coleco Telstar,1976,1.0
1st,Fairchild Channel F,1976,0.25
1st,Nintendo Color TV Game,1977,3.0
1st,Atari 2600,1977,30.0
2nd,Magnavox Odyssey 2,1978,2.0
2nd,Intellivision,1979,3.0
2nd,ColecoVision,1982,2.0
2nd,Atari 5200,1982,1.0
3rd,Nintendo Entertainment System (NES),1983,61.91
3rd,Sega Mark III/Master System,1985,13.0
3rd,Atari 7800,1986,1.0
4th,NEC PC Engine/TurboGrafx-16,1987,10.0
4th,Sega Mega Drive/Genesis,1988,30.75
4th,Neo Geo AES,1990,1.0
4th,Super Nintendo Entertainment System (Super NES),1990,49.1
5th,3DO Interactive Multiplayer,1993,2.0
5th,Atari Jaguar,1993,0.25
5th,Sega Saturn,1994,9.26
5th,Sony PlayStation,1994,102.49
5th,Nintendo 64,1996,32.93
6th,Sega Dreamcast,1998,9.13
6th,Sony PlayStation 2 (PS2),2000,155.0
6th,Nintendo GameCube,2001,21.74
6th,Microsoft Xbox,2001,24.0
7th,Microsoft Xbox 360 (core),2005,84.0
7th,Nintendo Wii,2006,101.63
7th,Sony PlayStation 3,2006,87.4
8th,Nintendo Wii U,2012,13.56
