year,historical,paris_lower,paris,paris_higher,current_policy_lower,current_policy_higher,pledges_lower,pledges_higher
1990-01-01,35.9892772411,,,,,,,
1991-01-01,36.3529059806,,,,,,,
1992-01-01,35.5297548065,,,,,,,
1993-01-01,35.7364773912,,,,,,,
1994-01-01,35.8572448217,,,,,,,
1995-01-01,36.6681849423,,,,,,,
1996-01-01,37.3170319101,,,,,,,
1997-01-01,37.6894974076,,,,,,,
1998-01-01,38.0387711589,,,,,,,
1999-01-01,38.2936544724,,,,,,,
2000-01-01,39.2972343,,,,,,,
2001-01-01,39.758757,,,,,,,
2002-01-01,40.40335,,,,,,,
2003-01-01,41.7931882,,,,,,,
2004-01-01,43.1715125,,,,,,,
2005-01-01,44.3958093,,,,,,,
2006-01-01,45.4282082,,,,,,,
2007-01-01,46.5708502,,,,,,,
2008-01-01,46.8618283,,,,,,,
2009-01-01,46.2471801,,,,,,,
2010-01-01,48.1847801,48.1,48.1,48.1,,,,
2011-01-01,49.2213834,48.3412281741,48.6368478056,48.672792315,,,,
2012-01-01,49.6985001,48.5824563482,49.1736956112,49.24558463,,,,
2013-01-01,50.4044137,48.8236845223,49.7105434168,49.818376945,,,,
2014-01-01,50.5299674,49.0649126963,50.2473912224,50.39116926,,,,
2015-01-01,50.6250534,49.3061408704,50.7842390279,50.963961575,50.5318687,50.5338144,50.0652508,50.5116392
2016-01-01,50.5825758,49.5473690445,51.3210868335,51.5367538901,50.5002523,50.510151,50.1289811,50.4803565
2017-01-01,,49.7885972186,51.8579346391,52.1095462051,51.0796988,51.1034867,50.6219159,51.0464649
2018-01-01,,50.0298253927,52.3947824447,52.6823385201,51.7303284,51.7819529,50.8011595,51.5991747
2019-01-01,,50.2710535668,52.9316302503,53.2551308351,51.6870598,52.0097602,50.6071215,51.3999949
2020-01-01,,50.5122817409,53.4684780559,53.8279231501,47.4451494,49.6286065,47.5702372,49.4285549
2021-01-01,,47.5886629186,50.716697785,51.1983350128,48.5901211,50.9447,48.000931,49.9468433
2022-01-01,,44.6650440963,47.964917514,48.5687468755,48.7120348,51.489153,48.0348888,49.9428575
2023-01-01,,41.741425274,45.2131372431,45.9391587382,48.9717765,51.9019801,47.7910632,49.9363112
2024-01-01,,38.8178064517,42.4613569722,43.3095706009,49.2551268,52.3911517,47.5527001,49.9412067
2025-01-01,,35.8941876294,39.7095767013,40.6799824636,49.4569162,52.8898343,47.3238427,49.852367
2026-01-01,,32.9705688072,36.9577964303,38.0503943263,49.762924,53.4421136,47.103366,49.7666543
2027-01-01,,30.0469499849,34.2060161594,35.420806189,50.0218602,53.9448768,46.890841,49.6899384
2028-01-01,,27.1233311626,31.4542358885,32.7912180517,50.320394,54.4472697,46.6573886,49.6186248
2029-01-01,,24.1997123403,28.7024556176,30.1616299144,50.6067865,54.9385484,46.3793101,49.5431075
2030-01-01,,21.276093518,25.9506753466,27.5320417772,50.8663539,55.4176401,46.0746124,49.4310263
2031-01-01,,20.5192210794,25.0050257856,26.7865794584,50.90703,55.7271496,45.7082403207,49.1830533777
2032-01-01,,19.4652230425,23.6875557125,25.6469602144,50.8928436,56.0260297,45.2964890177,48.8839288849
2033-01-01,,18.4112250055,22.3700856394,24.5073409704,50.8500557,56.3203276,44.8556778112,48.5491713905
2034-01-01,,17.3572269686,21.0526155663,23.3677217263,50.794305,56.6125766,44.3788434992,48.1929156471
2035-01-01,,16.3032289316,19.7351454932,22.2281024823,50.7305567,56.9002536,43.8633826301,47.8163036673
2036-01-01,,15.2492308947,18.4176754201,21.0884832383,50.666098,57.1698925,43.3138403144,47.4218150638
2037-01-01,,14.1952328577,17.100205347,19.9488639943,50.5967226,57.4123019,42.7376063137,47.0124132634
2038-01-01,,13.1412348207,15.7827352739,18.8092447503,50.5111331,57.6256769,42.1479507282,46.5867081436
2039-01-01,,12.0872367838,14.4652652008,17.6696255063,50.418814,57.8015742,41.543649164,46.1473909587
2040-01-01,,10.9574034096,13.050563581,16.4082787159,50.3085915,57.9412058,40.9372028187,45.6962574716
2041-01-01,,10.4437879554,12.5580861584,15.8868960065,50.2304272,58.1237913,40.3300690182,45.2681006397
