city,city_ascii,lat,lng,country,iso2,admin_name,capital,population,id
Saint Petersburg,Saint Petersburg,59.9500,30.3167,Russia,RU,Sankt-Peterburg,admin,5384342,1643616350
Novosibirsk,Novosibirsk,55.0333,82.9167,Russia,RU,Novosibirskaya Oblast’,admin,1625631,1643399240
Yekaterinburg,Yekaterinburg,56.8356,60.6128,Russia,RU,Sverdlovskaya Oblast’,admin,1468833,1643582706
Kharkiv,Kharkiv,49.9925,36.2311,Ukraine,UA,Kharkivska Oblast,admin,1446107,1804588111
Nizhniy Novgorod,Nizhniy Novgorod,56.3269,44.0075,Russia,RU,Nizhegorodskaya Oblast’,admin,1264075,1643012126
Kazan,Kazan,55.7964,49.1089,Russia,RU,Tatarstan,admin,1243500,1643101260
Chelyabinsk,Chelyabinsk,55.1500,61.4000,Russia,RU,Chelyabinskaya Oblast’,admin,1202371,1643224011
Omsk,Omsk,54.9667,73.3833,Russia,RU,Omskaya Oblast’,admin,1178391,1643360863
Samara,Samara,53.2028,50.1408,Russia,RU,Samarskaya Oblast’,admin,1169719,1643205757
Rostov,Rostov,47.2333,39.7000,Russia,RU,Rostovskaya Oblast’,admin,1137704,1643013518
Ufa,Ufa,54.7261,55.9475,Russia,RU,Bashkortostan,admin,1115560,1643722928
Krasnoyarsk,Krasnoyarsk,56.0089,92.8719,Russia,RU,Krasnoyarskiy Kray,admin,1083865,1643544975
Voronezh,Voronezh,51.6717,39.2106,Russia,RU,Voronezhskaya Oblast’,admin,1050602,1643811064
Perm,Perm,58.0139,56.2489,Russia,RU,Permskiy Kray,admin,1048005,1643294442
Odesa,Odesa,46.4775,30.7326,Ukraine,UA,Odeska Oblast,admin,1017699,1804178102
Volgograd,Volgograd,48.7086,44.5147,Russia,RU,Volgogradskaya Oblast’,admin,1015586,1643577201
Dnipro,Dnipro,48.4675,35.0400,Ukraine,UA,Dnipropetrovska Oblast,admin,980948,1804152933
Krasnodar,Krasnodar,45.0333,38.9667,Russia,RU,Krasnodarskiy Kray,admin,948827,1643438227
Donetsk,Donetsk,48.0028,37.8053,Ukraine,UA,Donetska Oblast,admin,929063,1804963805
Saratov,Saratov,51.5333,46.0167,Russia,RU,Saratovskaya Oblast’,admin,845300,1643556540
Tyumen,Tyumen,57.1500,65.5333,Russia,RU,Tyumenskaya Oblast’,admin,744554,1643040435
Zaporizhzhia,Zaporizhzhia,47.8500,35.1175,Ukraine,UA,Zaporizka Oblast,admin,741717,1804644752
Lviv,Lviv,49.8425,24.0322,Ukraine,UA,Lvivska Oblast,admin,724314,1804939658
Izhevsk,Izhevsk,56.8500,53.2167,Russia,RU,Udmurtiya,admin,646277,1643983138
Barnaul,Barnaul,53.3333,83.7500,Russia,RU,Altayskiy Kray,admin,633301,1643318931
Ulyanovsk,Ulyanovsk,54.3167,48.3667,Russia,RU,Ul’yanovskaya Oblast’,admin,624518,1643668944
Irkutsk,Irkutsk,52.2833,104.2833,Russia,RU,Irkutskaya Oblast’,admin,623736,1643439037
Khabarovsk,Khabarovsk,48.4833,135.0667,Russia,RU,Khabarovskiy Kray,admin,616242,1643175363
Yaroslavl,Yaroslavl,57.6167,39.8500,Russia,RU,Yaroslavskaya Oblast’,admin,608079,1643338528
Vladivostok,Vladivostok,43.1333,131.9000,Russia,RU,Primorskiy Kray,admin,606589,1643832017
Makhachkala,Makhachkala,42.9833,47.4833,Russia,RU,Dagestan,admin,592976,1643580480
Tomsk,Tomsk,56.4886,84.9522,Russia,RU,Tomskaya Oblast’,admin,572740,1643258928
Orenburg,Orenburg,51.7667,55.1000,Russia,RU,Orenburgskaya Oblast’,admin,564773,1643685056
Kemerovo,Kemerovo,55.3667,86.0667,Russia,RU,Kemerovskaya Oblast’,admin,558973,1643216311
Ryazan,Ryazan,54.6300,39.7425,Russia,RU,Ryazanskaya Oblast’,admin,537622,1643205787
Astrakhan,Astrakhan,46.3500,48.0350,Russia,RU,Astrakhanskaya Oblast’,admin,532504,1643407929
Penza,Penza,53.2000,45.0000,Russia,RU,Penzenskaya Oblast’,admin,523726,1643492830
Sevastopol,Sevastopol,44.6050,33.5225,Ukraine,UA,"Sevastopol, Misto",admin,522057,1804806030
Lipetsk,Lipetsk,52.6167,39.6000,Russia,RU,Lipetskaya Oblast’,admin,510439,1643772906
Kirov,Kirov,58.6000,49.6500,Russia,RU,Kirovskaya Oblast’,admin,501468,1643106064
Mykolaiv,Mykolaiv,46.9750,31.9950,Ukraine,UA,Mykolaivska Oblast,admin,498748,1804398395
Cheboksary,Cheboksary,56.1333,47.2500,Russia,RU,Chuvashiya,admin,489498,1643163382
Tula,Tula,54.2000,37.6167,Russia,RU,Tul’skaya Oblast’,admin,485221,1643255206
Kaliningrad,Kaliningrad,54.7003,20.4531,Russia,RU,Kaliningradskaya Oblast’,admin,475056,1643178106
Kursk,Kursk,51.7167,36.1833,Russia,RU,Kurskaya Oblast’,admin,450977,1643011077
Stavropol,Stavropol,45.0500,41.9833,Russia,RU,Stavropol’skiy Kray,admin,450680,1643947228
Ulan-Ude,Ulan-Ude,51.8272,107.6064,Russia,RU,Buryatiya,admin,439128,1643774900
Tver,Tver,56.8578,35.9219,Russia,RU,Tverskaya Oblast’,admin,424969,1643456559
Luhansk,Luhansk,48.5667,39.3333,Ukraine,UA,Luhanska Oblast,admin,417990,1804688214
Ivanovo,Ivanovo,57.0000,41.0000,Russia,RU,Ivanovskaya Oblast’,admin,406933,1643297945
Bryansk,Bryansk,53.2500,34.3667,Russia,RU,Bryanskaya Oblast’,admin,406553,1643208827
Belgorod,Belgorod,50.6000,36.6000,Russia,RU,Belgorodskaya Oblast’,admin,391702,1643407900
Vinnytsia,Vinnytsia,49.2333,28.4833,Ukraine,UA,Vinnytska Oblast,admin,371855,1804658571
Vladimir,Vladimir,56.1286,40.4058,Russia,RU,Vladimirskaya Oblast’,admin,356168,1643712167
Arkhangelsk,Arkhangelsk,64.5500,40.5333,Russia,RU,Arkhangel’skaya Oblast’,admin,351488,1643797198
Chita,Chita,52.0333,113.5000,Russia,RU,Zabaykal’skiy Kray,admin,347088,1643036673
