year,anomaly
1850-01-01,-0.373
1851-01-01,-0.218
1852-01-01,-0.228
1853-01-01,-0.269
1854-01-01,-0.248
1855-01-01,-0.272
1856-01-01,-0.358
1857-01-01,-0.461
1858-01-01,-0.467
1859-01-01,-0.284
1860-01-01,-0.343
1861-01-01,-0.407
1862-01-01,-0.524
1863-01-01,-0.278
1864-01-01,-0.494
1865-01-01,-0.279
1866-01-01,-0.251
1867-01-01,-0.321
1868-01-01,-0.238
1869-01-01,-0.262
1870-01-01,-0.276
1871-01-01,-0.335
1872-01-01,-0.227
1873-01-01,-0.304
1874-01-01,-0.368
1875-01-01,-0.395
1876-01-01,-0.384
1877-01-01,-0.075
1878-01-01,0.035
1879-01-01,-0.23
1880-01-01,-0.227
1881-01-01,-0.2
1882-01-01,-0.213
1883-01-01,-0.296
1884-01-01,-0.409
1885-01-01,-0.389
1886-01-01,-0.367
1887-01-01,-0.418
1888-01-01,-0.307
1889-01-01,-0.171
1890-01-01,-0.416
1891-01-01,-0.33
1892-01-01,-0.455
1893-01-01,-0.473
1894-01-01,-0.41
1895-01-01,-0.39
1896-01-01,-0.186
1897-01-01,-0.206
1898-01-01,-0.412
1899-01-01,-0.289
1900-01-01,-0.203
1901-01-01,-0.259
1902-01-01,-0.402
1903-01-01,-0.479
1904-01-01,-0.52
1905-01-01,-0.377
1906-01-01,-0.283
1907-01-01,-0.465
1908-01-01,-0.511
1909-01-01,-0.522
1910-01-01,-0.49
1911-01-01,-0.544
1912-01-01,-0.437
1913-01-01,-0.424
1914-01-01,-0.244
1915-01-01,-0.141
1916-01-01,-0.383
1917-01-01,-0.468
1918-01-01,-0.333
1919-01-01,-0.275
1920-01-01,-0.247
1921-01-01,-0.187
1922-01-01,-0.302
1923-01-01,-0.276
1924-01-01,-0.294
1925-01-01,-0.215
1926-01-01,-0.108
1927-01-01,-0.21
1928-01-01,-0.206
1929-01-01,-0.35
1930-01-01,-0.137
1931-01-01,-0.087
1932-01-01,-0.137
1933-01-01,-0.273
1934-01-01,-0.131
1935-01-01,-0.178
1936-01-01,-0.147
1937-01-01,-0.026
1938-01-01,-0.006
1939-01-01,-0.052
1940-01-01,0.014
1941-01-01,0.02
1942-01-01,-0.027
1943-01-01,-0.004
1944-01-01,0.144
1945-01-01,0.025
1946-01-01,-0.071
1947-01-01,-0.038
1948-01-01,-0.039
1949-01-01,-0.074
1950-01-01,-0.173
1951-01-01,-0.052
1952-01-01,0.028
1953-01-01,0.097
1954-01-01,-0.129
1955-01-01,-0.19
1956-01-01,-0.267
1957-01-01,-0.007
1958-01-01,0.046
1959-01-01,0.017
1960-01-01,-0.049
1961-01-01,0.038
1962-01-01,0.014
1963-01-01,0.048
1964-01-01,-0.223
1965-01-01,-0.14
1966-01-01,-0.068
1967-01-01,-0.074
1968-01-01,-0.113
1969-01-01,0.032
1970-01-01,-0.027
1971-01-01,-0.186
1972-01-01,-0.065
1973-01-01,0.062
1974-01-01,-0.214
1975-01-01,-0.149
1976-01-01,-0.241
1977-01-01,0.047
1978-01-01,-0.062
1979-01-01,0.057
1980-01-01,0.092
1981-01-01,0.14
1982-01-01,0.011
1983-01-01,0.194
1984-01-01,-0.014
1985-01-01,-0.03
1986-01-01,0.045
1987-01-01,0.192
1988-01-01,0.198
1989-01-01,0.118
1990-01-01,0.296
1991-01-01,0.254
1992-01-01,0.105
1993-01-01,0.148
1994-01-01,0.208
1995-01-01,0.325
1996-01-01,0.183
1997-01-01,0.39
1998-01-01,0.539
1999-01-01,0.306
2000-01-01,0.294
2001-01-01,0.441
2002-01-01,0.496
2003-01-01,0.505
2004-01-01,0.447
2005-01-01,0.545
2006-01-01,0.506
2007-01-01,0.491
2008-01-01,0.395
2009-01-01,0.506
2010-01-01,0.56
2011-01-01,0.425
2012-01-01,0.47
2013-01-01,0.514
2014-01-01,0.579
2015-01-01,0.763
2016-01-01,0.797
2017-01-01,0.677
2018-01-01,0.597
2019-01-01,0.736
2020-01-01,0.794
