year,degree,value,jahr
1850,-0.21,0.602,1850
1851,-0.1,0.547,1851
1852,-0.08,0.573,1852
1853,-0.08,0.540,1853
1854,-0.07,0.562,1854
1855,-0.06,0.588,1855
1856,-0.18,0.546,1856
1857,-0.32,0.523,1857
1858,-0.11,0.543,1858
1859,0,0.572,1859
1860,-0.15,0.506,1860
1861,-0.23,0.515,1861
1862,-0.34,0.539,1862
1863,-0.1,0.588,1863
1864,-0.14,0.537,1864
1865,-0.04,0.495,1865
1866,0.01,0.531,1866
1867,0.05,0.529,1867
1868,0,0.473,1868
1869,-0.01,0.494,1869
1870,-0.07,0.439,1870
1871,-0.1,0.446,1871
1872,-0.07,0.451,1872
1873,-0.04,0.409,1873
1874,-0.09,0.387,1874
1875,-0.12,0.359,1875
1876,-0.13,0.354,1876
1877,0.26,0.366,1877
1878,0.34,0.357,1878
1879,-0.01,0.350,1879
1880,-0.08,0.376,1880
1881,0.04,0.355,1881
1882,-0.03,0.331,1882
1883,-0.08,0.308,1883
1884,-0.25,0.314,1884
1885,-0.21,0.321,1885
1886,-0.24,0.306,1886
1887,-0.27,0.301,1887
1888,-0.07,0.297,1888
1889,0.05,0.291,1889
1890,-0.23,0.307,1890
1891,-0.12,0.296,1891
1892,-0.18,0.288,1892
1893,-0.16,0.280,1893
1894,-0.15,0.280,1894
1895,-0.08,0.281,1895
1896,0.01,0.275,1896
1897,0.03,0.294,1897
1898,-0.18,0.284,1898
1899,-0.01,0.275,1899
1900,0.1,0.266,1900
1901,0.02,0.267,1901
1902,-0.14,0.267,1902
1903,-0.24,0.268,1903
1904,-0.3,0.262,1904
1905,-0.12,0.266,1905
1906,-0.03,0.264,1906
1907,-0.2,0.263,1907
1908,-0.22,0.248,1908
1909,-0.29,0.248,1909
1910,-0.24,0.236,1910
1911,-0.26,0.241,1911
1912,-0.19,0.236,1912
1913,-0.16,0.239,1913
1914,0.03,0.236,1914
1915,0.08,0.247,1915
1916,-0.16,0.251,1916
1917,-0.3,0.260,1917
1918,-0.14,0.263,1918
1919,-0.08,0.260,1919
1920,-0.02,0.251,1920
1921,0.04,0.251,1921
1922,-0.05,0.244,1922
1923,-0.01,0.244,1923
1924,-0.02,0.248,1924
1925,0.02,0.243,1925
1926,0.15,0.245,1926
1927,0.04,0.244,1927
1928,0.05,0.244,1928
1929,-0.14,0.242,1929
1930,0.09,0.246,1930
1931,0.16,0.243,1931
1932,0.11,0.241,1932
1933,-0.08,0.240,1933
1934,0.07,0.240,1934
1935,0.01,0.241,1935
1936,0.08,0.233,1936
1937,0.24,0.239,1937
1938,0.24,0.237,1938
1939,0.22,0.245,1939
1940,0.3,0.257,1940
1941,0.26,0.413,1941
1942,0.27,0.416,1942
1943,0.32,0.414,1943
1944,0.43,0.414,1944
1945,0.3,0.414,1945
1946,0.15,0.308,1946
1947,0.22,0.299,1947
1948,0.13,0.286,1948
1949,0.12,0.251,1949
1950,0.06,0.214,1950
1951,0.24,0.192,1951
1952,0.31,0.219,1952
1953,0.38,0.224,1953
1954,0.19,0.203,1954
1955,0.14,0.185,1955
1956,0.05,0.150,1956
1957,0.28,0.163,1957
1958,0.29,0.150,1958
1959,0.27,0.144,1959
1960,0.21,0.132,1960
1961,0.29,0.123,1961
1962,0.23,0.119,1962
1963,0.27,0.124,1963
1964,0.01,0.108,1964
1965,0.13,0.118,1965
1966,0.19,0.109,1966
1967,0.22,0.107,1967
1968,0.14,0.100,1968
1969,0.29,0.095,1969
1970,0.24,0.082,1970
1971,0.12,0.087,1971
1972,0.23,0.089,1972
1973,0.37,0.095,1973
1974,0.17,0.099,1974
1975,0.23,0.103,1975
1976,0.14,0.110,1976
1977,0.46,0.093,1977
1978,0.34,0.087,1978
1979,0.41,0.083,1979
1980,0.54,0.089,1980
1981,0.59,0.086,1981
1982,0.37,0.099,1982
1983,0.55,0.089,1983
1984,0.39,0.094,1984
1985,0.38,0.090,1985
1986,0.44,0.078,1986
1987,0.58,0.082,1987
1988,0.62,0.093,1988
1989,0.51,0.088,1989
1990,0.69,0.089,1990
1991,0.68,0.084,1991
1992,0.47,0.097,1992
1993,0.53,0.085,1993
1994,0.58,0.079,1994
1995,0.74,0.087,1995
1996,0.63,0.076,1996
1997,0.77,0.085,1997
1998,0.92,0.084,1998
1999,0.67,0.083,1999
2000,0.68,0.086,2000
2001,0.81,0.086,2001
2002,0.9,0.077,2002
2003,0.89,0.087,2003
2004,0.8,0.081,2004
2005,0.96,0.081,2005
2006,0.91,0.076,2006
2007,0.93,0.076,2007
2008,0.8,0.080,2008
2009,0.93,0.083,2009
2010,1,0.080,2010
2011,0.89,0.078,2011
2012,0.91,0.081,2012
2013,0.93,0.078,2013
2014,1,0.088,2014
2015,1.15,0.079,2015
2016,1.29,0.082,2016
2017,1.19,0.077,2017
2018,1.11,0.077,2018
2019,1.25,0.076,2019
2020,1.28,0.084,2020
2021,1.12,0.077,2021
2022,1.16,0.084,2022
2023,1.45,0.091,2023
2024,1.54,0.099,2024
