Team,Color1,Color2,Color3,Color4,Color5,LogoSvgUrl,LogoPngUrl,Combined PNG
Atlanta Hawks,#E03A3E,#C1D32F,#26282A,,,https://jonfroehlich.github.io/vis/data/nba/logos/atlanta_hawks_logo.svg,,https://jonfroehlich.github.io/vis/data/nba/logos/atlanta_hawks_logo.png
Boston Celtics,#007A33,#BA9653,#963821,#FFFFFF,#000000,https://jonfroehlich.github.io/vis/data/nba/logos/boston_celtics_logo.svg,,https://jonfroehlich.github.io/vis/data/nba/logos/boston_celtics_logo.png
Brooklyn Nets,#000000,#FFFFFF,,,,https://jonfroehlich.github.io/vis/data/nba/logos/brooklyn_nets_logo.svg,,
Charlotte Hornets,#1D1160,#00788C,#A1A1A4,,,https://jonfroehlich.github.io/vis/data/nba/logos/charlotte_hornets_logo.svg,,
Chicago Bulls,#CE1141,#000000,,,,https://jonfroehlich.github.io/vis/data/nba/logos/chicago_bulls_logo.svg,,
Cleveland Cavaliers,#860038,#041E42,#FDBB30,#000000,,https://jonfroehlich.github.io/vis/data/nba/logos/cleveland_cavaliers_logo.svg,,
Dallas Mavericks,#00538C,#002B5E,#B8C4CA,#000000,,https://jonfroehlich.github.io/vis/data/nba/logos/dallas_mavericks_logo.svg,,
Denver Nuggets,#0E2240,#FEC524,#8B2131,#1D428A,,https://jonfroehlich.github.io/vis/data/nba/logos/denver_nuggets_logo.svg,,
Detroit Pistons,#C8102E,#1D42BA,#BEC0C2,#002D62,,https://jonfroehlich.github.io/vis/data/nba/logos/detroit_pistons_logo.svg,,
Golden State Warriors,#1D428A,#FFC72C,,,,https://jonfroehlich.github.io/vis/data/nba/logos/golden_state_warriors_logo.svg,,
Houston Rockets,#CE1141,#000000,#C4CED4,,,https://jonfroehlich.github.io/vis/data/nba/logos/houston_rockets_logo.svg,,
Indiana Pacers,#002D62,#FDBB30,#BEC0C2,,,https://jonfroehlich.github.io/vis/data/nba/logos/indiana_pacers_logo.svg,,
Los Angeles Clippers,#C8102E,#1D428A,#BEC0C2,#000000,,https://jonfroehlich.github.io/vis/data/nba/logos/los_angeles_clippers_logo.svg,,
Los Angeles Lakers,#552583,#FDB927,#000000,,,https://jonfroehlich.github.io/vis/data/nba/logos/los_angeles_lakers_logo.svg,,
Memphis Grizzlies,#5D76A9,#12173F,#F5B112,#707271,,https://jonfroehlich.github.io/vis/data/nba/logos/memphis_grizzlies_logo.svg,,
Miami Heat,#98002E,#F9A01B,#000000,,,https://jonfroehlich.github.io/vis/data/nba/logos/miami_heat_logo.svg,,
Milwaukee Bucks,#00471B,#EEE1C6,#0077C0,#000000,,https://jonfroehlich.github.io/vis/data/nba/logos/milwaukee_bucks_logo.svg,,
Minnesota Timberwolves,#0C2340,#236192,#9EA2A2,#78BE20,,https://jonfroehlich.github.io/vis/data/nba/logos/minnesota_timberwolves_logo.svg,,
New Orleans Pelicans,#0C2340,#C8102E,#85714D,,,https://jonfroehlich.github.io/vis/data/nba/logos/new_orleans_pelicans_logo.svg,,
New York Knicks,#006BB6,#F58426,#BEC0C2,#000000,,https://jonfroehlich.github.io/vis/data/nba/logos/new_york_knicks_logo.svg,,
Oklahoma City Thunder,#007AC1,#EF3B24,#002D62,#FDBB30,,https://jonfroehlich.github.io/vis/data/nba/logos/oklahoma_city_thunder_logo.svg,,
Orlando Magic,#0077C0,#C4CED4,#000000,,,https://jonfroehlich.github.io/vis/data/nba/logos/orlando_magic_logo.svg,,
Philadelphia 76ers,#006BB6,#ED174C,#002B5C,#C4CED4,,https://jonfroehlich.github.io/vis/data/nba/logos/philadelphia_76ers_logo.svg,,
Phoenix Suns,#1D1160,#E56020,#000000,#63727A,#F9AD1B,https://jonfroehlich.github.io/vis/data/nba/logos/phoenix_suns_logo.svg,,
Portland Trail Blazers,#E03A3E,#000000,,,,https://jonfroehlich.github.io/vis/data/nba/logos/portland_trail_blazers_logo.svg,,
Sacramento Kings,#5A2D81,#63727A,#000000,,,https://jonfroehlich.github.io/vis/data/nba/logos/sacramento_kings_logo.svg,,
San Antonio Spurs,#C4CED4,#000000,,,,https://jonfroehlich.github.io/vis/data/nba/logos/san_antonio_spurs_logo.svg,,https://jonfroehlich.github.io/vis/data/nba/logos/san_antonio_spurs_logo.png
Toronto Raptors,#CE1141,#000000,#A1A1A4,#B4975A,,https://jonfroehlich.github.io/vis/data/nba/logos/toronto_raptors_logo.svg,,
Utah Jazz,#002B5C,#00471B,#F9A01B,,,https://jonfroehlich.github.io/vis/data/nba/logos/utah_jazz_logo.svg,,
Washington Wizards,#002B5C,#E31837,#C4CED4,,,https://jonfroehlich.github.io/vis/data/nba/logos/washington_wizards_logo.svg,,
