Team,Arena,Criteria,Score
Dallas Mavericks,American Airlines Center,Freshness,5
Dallas Mavericks,American Airlines Center,Saltiness,5
Dallas Mavericks,American Airlines Center,Crunchiness,4
Dallas Mavericks,American Airlines Center,Butter,5
Dallas Mavericks,American Airlines Center,Presentation,5
Dallas Mavericks,American Airlines Center,Total Score,24
Brooklyn Nets,Barclays Center,Freshness,4
Brooklyn Nets,Barclays Center,Saltiness,5
Brooklyn Nets,Barclays Center,Crunchiness,5
Brooklyn Nets,Barclays Center,Butter,4
Brooklyn Nets,Barclays Center,Presentation,5
Brooklyn Nets,Barclays Center,Total Score,23
Miami Heat,American Airlines Arena,Freshness,5
Miami Heat,American Airlines Arena,Saltiness,4
Miami Heat,American Airlines Arena,Crunchiness,4
Miami Heat,American Airlines Arena,Butter,4
Miami Heat,American Airlines Arena,Presentation,5
Miami Heat,American Airlines Arena,Total Score,22
Portland Trailblazers,Moda Center,Freshness,4
Portland Trailblazers,Moda Center,Saltiness,4
Portland Trailblazers,Moda Center,Crunchiness,5
Portland Trailblazers,Moda Center,Butter,4
Portland Trailblazers,Moda Center,Presentation,3
Portland Trailblazers,Moda Center,Total Score,20
Sacramento Kings,Golden 1 Center,Freshness,2
Sacramento Kings,Golden 1 Center,Saltiness,4
Sacramento Kings,Golden 1 Center,Crunchiness,4
Sacramento Kings,Golden 1 Center,Butter,4
Sacramento Kings,Golden 1 Center,Presentation,5
Sacramento Kings,Golden 1 Center,Total Score,19
Toronto Raptors,Scotiabank Arena,Freshness,3
Toronto Raptors,Scotiabank Arena,Saltiness,4
Toronto Raptors,Scotiabank Arena,Crunchiness,3
Toronto Raptors,Scotiabank Arena,Butter,4
Toronto Raptors,Scotiabank Arena,Presentation,4
Toronto Raptors,Scotiabank Arena,Total Score,18
Houston Rockets,Toyota Center,Freshness,3
Houston Rockets,Toyota Center,Saltiness,4
Houston Rockets,Toyota Center,Crunchiness,3
Houston Rockets,Toyota Center,Butter,4
Houston Rockets,Toyota Center,Presentation,4
Houston Rockets,Toyota Center,Total Score,18
Oklahoma City Thunder,Chesapeake Energy Arena,Freshness,4
Oklahoma City Thunder,Chesapeake Energy Arena,Saltiness,3
Oklahoma City Thunder,Chesapeake Energy Arena,Crunchiness,4
Oklahoma City Thunder,Chesapeake Energy Arena,Butter,4
Oklahoma City Thunder,Chesapeake Energy Arena,Presentation,3
Oklahoma City Thunder,Chesapeake Energy Arena,Total Score,18
Golden State Warriors,Oracle Arena,Freshness,2
Golden State Warriors,Oracle Arena,Saltiness,4
Golden State Warriors,Oracle Arena,Crunchiness,5
Golden State Warriors,Oracle Arena,Butter,3
Golden State Warriors,Oracle Arena,Presentation,4
Golden State Warriors,Oracle Arena,Total Score,18
New York City Knicks,Madison Square Garden,Freshness,3
New York City Knicks,Madison Square Garden,Saltiness,2
New York City Knicks,Madison Square Garden,Crunchiness,4
New York City Knicks,Madison Square Garden,Butter,4
New York City Knicks,Madison Square Garden,Presentation,4
New York City Knicks,Madison Square Garden,Total Score,17
Indiana Pacers,Bankers Life Fieldhouse,Freshness,3
Indiana Pacers,Bankers Life Fieldhouse,Saltiness,3
Indiana Pacers,Bankers Life Fieldhouse,Crunchiness,5
Indiana Pacers,Bankers Life Fieldhouse,Butter,4
Indiana Pacers,Bankers Life Fieldhouse,Presentation,2
Indiana Pacers,Bankers Life Fieldhouse,Total Score,17
New Orleans Pelicans,Smoothie King Center,Freshness,3
New Orleans Pelicans,Smoothie King Center,Saltiness,3
New Orleans Pelicans,Smoothie King Center,Crunchiness,3
New Orleans Pelicans,Smoothie King Center,Butter,3
New Orleans Pelicans,Smoothie King Center,Presentation,5
New Orleans Pelicans,Smoothie King Center,Total Score,17
Minnesota Timberwolves,Target Center,Freshness,2
Minnesota Timberwolves,Target Center,Saltiness,5
Minnesota Timberwolves,Target Center,Crunchiness,4
Minnesota Timberwolves,Target Center,Butter,3
Minnesota Timberwolves,Target Center,Presentation,3
Minnesota Timberwolves,Target Center,Total Score,17
Washington Wizards,Capital One Arena,Freshness,4
Washington Wizards,Capital One Arena,Saltiness,3
Washington Wizards,Capital One Arena,Crunchiness,3
Washington Wizards,Capital One Arena,Butter,4
Washington Wizards,Capital One Arena,Presentation,3
Washington Wizards,Capital One Arena,Total Score,17
Chicago Bulls,United Center,Freshness,3
Chicago Bulls,United Center,Saltiness,4
Chicago Bulls,United Center,Crunchiness,3
Chicago Bulls,United Center,Butter,3
Chicago Bulls,United Center,Presentation,3
Chicago Bulls,United Center,Total Score,16
Utah Jazz,Vivint Smart Home Arena,Freshness,2
Utah Jazz,Vivint Smart Home Arena,Saltiness,5
Utah Jazz,Vivint Smart Home Arena,Crunchiness,4
Utah Jazz,Vivint Smart Home Arena,Butter,3
Utah Jazz,Vivint Smart Home Arena,Presentation,2
Utah Jazz,Vivint Smart Home Arena,Total Score,16
Atlanta Hawks,State Farm Arena,Freshness,3
Atlanta Hawks,State Farm Arena,Saltiness,5
Atlanta Hawks,State Farm Arena,Crunchiness,4
Atlanta Hawks,State Farm Arena,Butter,3
Atlanta Hawks,State Farm Arena,Presentation,1
Atlanta Hawks,State Farm Arena,Total Score,16
San Antonio Spurs,AT&T Center,Freshness,3
San Antonio Spurs,AT&T Center,Saltiness,3
San Antonio Spurs,AT&T Center,Crunchiness,3
San Antonio Spurs,AT&T Center,Butter,3
San Antonio Spurs,AT&T Center,Presentation,3
San Antonio Spurs,AT&T Center,Total Score,15
Philadelphia Sixers,Wells Fargo Center,Freshness,4
Philadelphia Sixers,Wells Fargo Center,Saltiness,2
Philadelphia Sixers,Wells Fargo Center,Crunchiness,4
Philadelphia Sixers,Wells Fargo Center,Butter,2
Philadelphia Sixers,Wells Fargo Center,Presentation,2
Philadelphia Sixers,Wells Fargo Center,Total Score,14
Phoenix Suns,Talking Stick Resort Arena,Freshness,3
Phoenix Suns,Talking Stick Resort Arena,Saltiness,3
Phoenix Suns,Talking Stick Resort Arena,Crunchiness,3
Phoenix Suns,Talking Stick Resort Arena,Butter,3
Phoenix Suns,Talking Stick Resort Arena,Presentation,2
Phoenix Suns,Talking Stick Resort Arena,Total Score,14
Milwaukee Bucks,Fiserv Forum,Freshness,2
Milwaukee Bucks,Fiserv Forum,Saltiness,2
Milwaukee Bucks,Fiserv Forum,Crunchiness,3
Milwaukee Bucks,Fiserv Forum,Butter,4
Milwaukee Bucks,Fiserv Forum,Presentation,2
Milwaukee Bucks,Fiserv Forum,Total Score,13
Boston Celtics,TD Garden,Freshness,3
