date,all posts,questions,answers
2018-02-08,21397,10148,11249
2018-02-09,19054,9177,9877
2018-02-10,11066,5407,5659
2018-02-11,10868,5476,5392
2018-02-12,19716,9656,10060
2018-02-13,20071,9781,10290
2018-02-14,20522,9894,10628
2018-02-15,20011,9701,10310
2018-02-16,18317,8633,9684
2018-02-17,10557,5191,5366
2018-02-18,10823,5412,5411
2018-02-19,17996,8899,9097
2018-02-20,20177,9888,10289
2018-02-21,21313,10398,10915
2018-02-22,21631,10356,11275
2018-02-23,18705,9115,9590
2018-02-24,10988,5449,5539
2018-02-25,10875,5427,5448
2018-02-26,19239,9582,9657
2018-02-27,20849,10123,10726
2018-02-28,20685,10127,10558
2018-03-01,20072,9857,10215
2018-03-02,18455,8979,9476
2018-03-03,11349,5609,5740
2018-03-04,11234,5657,5577
2018-03-05,19584,9682,9902
2018-03-06,20584,10264,10320
2018-03-07,21233,10544,10689
2018-03-08,21238,10380,10858
2018-03-09,19380,9435,9945
2018-03-10,11345,5657,5688
2018-03-11,11135,5561,5574
2018-03-12,19803,9746,10057
2018-03-13,21507,10543,10964
2018-03-14,21675,10620,11055
2018-03-15,21673,10554,11119
2018-03-16,19836,9506,10330
2018-03-17,11099,5567,5532
2018-03-18,10896,5531,5365
2018-03-19,20221,9893,10328
2018-03-20,21713,10597,11116
2018-03-21,22378,10750,11628
2018-03-22,21907,10629,11278
2018-03-23,19417,9301,10116
2018-03-24,11386,5578,5808
2018-03-25,11032,5487,5545
2018-03-26,20150,9885,10265
2018-03-27,21686,10469,11217
2018-03-28,21870,10531,11339
2018-03-29,20698,9840,10858
2018-03-30,16162,7762,8400
2018-03-31,10673,5279,5394
2018-04-01,10181,5004,5177
2018-04-02,16577,8148,8429
2018-04-03,20339,9837,10502
2018-04-04,21406,10292,11114
2018-04-05,21110,10057,11053
2018-04-06,19137,9164,9973
2018-04-07,10668,5217,5451
2018-04-08,10825,5531,5294
2018-04-09,19304,9546,9758
2018-04-10,21116,10326,10790
2018-04-11,21545,10584,10961
2018-04-12,21381,10386,10995
2018-04-13,19121,9251,9870
2018-04-14,10698,5282,5416
2018-04-15,10659,5424,5235
2018-04-16,19895,9899,9996
2018-04-17,21257,10465,10792
2018-04-18,21520,10315,11205
2018-04-19,21220,10409,10811
2018-04-20,19121,9265,9856
2018-04-21,10163,5079,5084
2018-04-22,10575,5497,5078
2018-04-23,19678,9660,10018
2018-04-24,20672,10050,10622
2018-04-25,20648,10037,10611
2018-04-26,20507,10020,10487
2018-04-27,18121,8673,9448
2018-04-28,10534,5280,5254
2018-04-29,10309,5178,5131
2018-04-30,17296,8463,8833
2018-05-01,15608,7644,7964
2018-05-02,19719,9692,10027
2018-05-03,20171,9838,10333
2018-05-04,19096,9019,10077
2018-05-05,10613,5189,5424
2018-05-06,10499,5260,5239
2018-05-07,18380,9114,9266
2018-05-08,19739,9695,10044
2018-05-09,19885,9842,10043
2018-05-10,19430,9402,10028
2018-05-11,18547,8982,9565
2018-05-12,9959,4921,5038
2018-05-13,10033,5088,4945
2018-05-14,18874,9315,9559
2018-05-15,20096,9974,10122
2018-05-16,20822,10136,10686
2018-05-17,20451,9955,10496
2018-05-18,18542,8949,9593
2018-05-19,9961,4932,5029
2018-05-20,9905,4996,4909
2018-05-21,17538,8641,8897
2018-05-22,20015,9740,10275
2018-05-23,21013,10193,10820
2018-05-24,20662,10056,10606
2018-05-25,18357,8785,9572
2018-05-26,9797,4850,4947
2018-05-27,9615,4881,4734
2018-05-28,17046,8420,8626
2018-05-29,19908,9666,10242
2018-05-30,20264,9768,10496
2018-05-31,19463,9471,9992
2018-06-01,17892,8637,9255
2018-06-02,9862,4915,4947
2018-06-03,9843,5008,4835
2018-06-04,18225,9221,9004
2018-06-05,20205,9976,10229
2018-06-06,20708,10170,10538
2018-06-07,20387,10068,10319
2018-06-08,18080,8963,9117
2018-06-09,9765,4853,4912
2018-06-10,9556,4831,4725
2018-06-11,18464,9275,9189
2018-06-12,19826,9785,10041
2018-06-13,20415,9878,10537
2018-06-14,19604,9639,9965
2018-06-15,16457,7805,8652
2018-06-16,8676,4282,4394
2018-06-17,8714,4347,4367
2018-06-18,17535,8846,8689
2018-06-19,19487,9517,9970
2018-06-20,20167,9975,10192
2018-06-21,20296,9925,10371
2018-06-22,17873,8624,9249
2018-06-23,9120,4446,4674
2018-06-24,8934,4512,4422
2018-06-25,18327,9119,9208
2018-06-26,19593,9674,9919
2018-06-27,20119,9750,10369
2018-06-28,19642,9611,10031
2018-06-29,18060,8617,9443
2018-06-30,8754,4314,4440
2018-07-01,8416,4220,4196
2018-07-02,17197,8576,8621
2018-07-03,19119,9359,9760
2018-07-04,17675,8559,9116
2018-07-05,19470,9464,10006
2018-07-06,17499,8433,9066
2018-07-07,8932,4333,4599
2018-07-08,9015,4448,4567
2018-07-09,18649,9123,9526
2018-07-10,19890,9592,10298
2018-07-11,20195,9837,10358
2018-07-12,20321,9847,10474
2018-07-13,18113,8668,9445
2018-07-14,9187,4542,4645
2018-07-15,8823,4374,4449
2018-07-16,18339,9128,9211
2018-07-17,20223,9908,10315
2018-07-18,20771,10028,10743
2018-07-19,20773,10024,10749
2018-07-20,18368,8744,9624
2018-07-21,9298,4533,4765
2018-07-22,9187,4554,4633
2018-07-23,18486,9090,9396
2018-07-24,20407,9887,10520
2018-07-25,20114,9773,10341
2018-07-26,19769,9642,10127
2018-07-27,17851,8486,9365
2018-07-28,9272,4490,4782
2018-07-29,9334,4609,4725
2018-07-30,18223,8872,9351
2018-07-31,19847,9600,10247
2018-08-01,20165,9890,10275
2018-08-02,19820,9441,10379
2018-08-03,17686,8469,9217
2018-08-04,9102,4361,4741
2018-08-05,8696,4274,4422
2018-08-06,17902,8847,9055
2018-08-07,19815,9651,10164
2018-08-08,20210,9664,10546
2018-08-09,20030,9552,10478
2018-08-10,18061,8430,9631
2018-08-11,9364,4557,4807
2018-08-12,9118,4502,4616
2018-08-13,18215,8773,9442
2018-08-14,19170,9114,10056
