date,New York,San Francisco
2011-10-01T04:00Z,63.4,62.7
2011-10-02T04:00Z,58,59.9
2011-10-03T04:00Z,53.3,59.1
2011-10-04T04:00Z,55.7,58.8
2011-10-05T04:00Z,64.2,58.7
2011-10-06T04:00Z,58.8,57
2011-10-07T04:00Z,57.9,56.7
2011-10-08T04:00Z,61.8,56.8
2011-10-09T04:00Z,69.3,56.7
2011-10-10T04:00Z,71.2,60.1
2011-10-11T04:00Z,68.7,61.1
2011-10-12T04:00Z,61.8,61.5
2011-10-13T04:00Z,63,64.3
2011-10-14T04:00Z,66.9,67.1
2011-10-15T04:00Z,61.7,64.6
2011-10-16T04:00Z,61.8,61.6
2011-10-17T04:00Z,62.8,61.1
2011-10-18T04:00Z,60.8,59.2
2011-10-19T04:00Z,62.1,58.9
2011-10-20T04:00Z,65.1,57.2
2011-10-21T04:00Z,55.6,56.4
2011-10-22T04:00Z,54.4,60.7
2011-10-23T04:00Z,54.4,65.1
2011-10-24T04:00Z,54.8,60.9
2011-10-25T04:00Z,57.9,56.1
2011-10-26T04:00Z,54.6,54.6
2011-10-27T04:00Z,54.4,56.1
2011-10-28T04:00Z,42.5,58.1
2011-10-29T04:00Z,40.9,57.5
2011-10-30T04:00Z,38.6,57.7
2011-10-31T04:00Z,44.2,55.1
2011-11-01T04:00Z,49.6,57.9
2011-11-02T04:00Z,47.2,64.6
2011-11-03T04:00Z,50.1,56.2
2011-11-04T04:00Z,50.1,50.5
2011-11-05T04:00Z,43.5,51.3
2011-11-06T04:00Z,43.8,52.6
2011-11-07T05:00Z,48.9,51.4
2011-11-08T05:00Z,55.5,50.6
2011-11-09T05:00Z,53.7,54.6
2011-11-10T05:00Z,57.7,55.6
2011-11-11T05:00Z,48.5,53.9
2011-11-12T05:00Z,46.8,54
2011-11-13T05:00Z,51.1,53.8
2011-11-14T05:00Z,56.8,53.5
2011-11-15T05:00Z,59.7,53.4
2011-11-16T05:00Z,56.5,52.2
2011-11-17T05:00Z,49.6,52.7
2011-11-18T05:00Z,41.5,53.1
2011-11-19T05:00Z,44.3,49
2011-11-20T05:00Z,54,50.4
2011-11-21T05:00Z,54.1,51.1
2011-11-22T05:00Z,49.4,52.3
2011-11-23T05:00Z,50,54.6
2011-11-24T05:00Z,44,55.1
2011-11-25T05:00Z,50.3,51.5
2011-11-26T05:00Z,52.1,53.6
2011-11-27T05:00Z,49.6,52.3
2011-11-28T05:00Z,57.2,51
2011-11-29T05:00Z,59.1,49.5
2011-11-30T05:00Z,50.6,49.8
2011-12-01T05:00Z,44.3,60.4
2011-12-02T05:00Z,43.9,62.2
2011-12-03T05:00Z,42.1,58.3
2011-12-04T05:00Z,43.9,52.7
2011-12-05T05:00Z,50.2,51.5
2011-12-06T05:00Z,54.2,49.9
2011-12-07T05:00Z,54.6,48.6
2011-12-08T05:00Z,43.4,46.4
2011-12-09T05:00Z,42.2,49.8
2011-12-10T05:00Z,45,52.1
2011-12-11T05:00Z,33.8,48.8
2011-12-12T05:00Z,36.8,47.4
2011-12-13T05:00Z,38.6,47.2
2011-12-14T05:00Z,41.9,46.1
2011-12-15T05:00Z,49.6,48.8
2011-12-16T05:00Z,50.2,47.9
2011-12-17T05:00Z,40.6,49.8
2011-12-18T05:00Z,29.1,49.1
2011-12-19T05:00Z,33.7,48.3
2011-12-20T05:00Z,45.8,49.3
2011-12-21T05:00Z,47.4,48.4
2011-12-22T05:00Z,54.4,53.3
2011-12-23T05:00Z,47.8,47.5
2011-12-24T05:00Z,34.9,47.9
2011-12-25T05:00Z,35.9,48.9
2011-12-26T05:00Z,43.6,45.9
2011-12-27T05:00Z,42.9,47.2
2011-12-28T05:00Z,46.2,48.9
2011-12-29T05:00Z,30.8,50.9
2011-12-30T05:00Z,40.8,52.9
2011-12-31T05:00Z,49.8,50.1
2012-01-01T05:00Z,46.3,53.9
2012-01-02T05:00Z,43.2,53.1
2012-01-03T05:00Z,30.3,49.7
2012-01-04T05:00Z,19.2,52.7
2012-01-05T05:00Z,32.1,52.6
2012-01-06T05:00Z,41.2,49
2012-01-07T05:00Z,47,51
2012-01-08T05:00Z,46,56.8
2012-01-09T05:00Z,34.7,52.3
2012-01-10T05:00Z,39.4,51.6
2012-01-11T05:00Z,40.4,49.8
2012-01-12T05:00Z,45.4,51.9
2012-01-13T05:00Z,40.7,53.7
2012-01-14T05:00Z,30.4,52.9
2012-01-15T05:00Z,23.9,49.7
2012-01-16T05:00Z,22.6,45.3
2012-01-17T05:00Z,39.8,43.6
2012-01-18T05:00Z,43.2,45
2012-01-19T05:00Z,26.3,47.3
2012-01-20T05:00Z,32.8,51.4
2012-01-21T05:00Z,27.4,53.7
2012-01-22T05:00Z,25,48.3
2012-01-23T05:00Z,39.4,52.9
2012-01-24T05:00Z,48.7,49.1
2012-01-25T05:00Z,43,52.1
2012-01-26T05:00Z,37.1,53.6
2012-01-27T05:00Z,48.2,50.4
2012-01-28T05:00Z,43.7,50.3
2012-01-29T05:00Z,40.1,53.8
2012-01-30T05:00Z,38,51.9
2012-01-31T05:00Z,43.5,50
2012-02-01T05:00Z,50.4,50
2012-02-02T05:00Z,45.8,51.3
2012-02-03T05:00Z,37.5,51.5
2012-02-04T05:00Z,40.8,52
2012-02-05T05:00Z,36.5,53.8
2012-02-06T05:00Z,39.1,54.6
2012-02-07T05:00Z,43.2,54.3
2012-02-08T05:00Z,36.5,51.9
2012-02-09T05:00Z,36.5,53.8
2012-02-10T05:00Z,38.3,53.9
2012-02-11T05:00Z,36.9,52.3
2012-02-12T05:00Z,29.7,50.1
2012-02-13T05:00Z,33.1,49.5
