Main Character,1st hand,2nd hand,Kill Count
Christopher Moltisanti,"Emil Kolar
   Mikey Palmice
   Sean Gismonte
   Carlo Renzi
   Dino Zerilli
   Barry Haydu
   J. T. Dolan","Jimmy Altieri
   Stanley Johnson
   Credenzo Curtis
   Jack Massarone
   Adriana La Cerva
   Teddy Spirodakis
   Rusty Millio 
   Eddie Pietro
   Raoul the Waiter",17
Tony Soprano,"Willie Overall
   Febby Petrulio
   Chucky Signore
   Matthew Bevilaqua
   Salvatore ""Big Pussy"" Bonpensiero
   Ralph Cifaretto
   Tony Blundetto
   Christopher Moltisanti","Jimmy Altieri
   John Clayborn
   Mikey Palmice
   Phillip Parisi
   Barry Haydu
   Stanley Johnson
   Credenzo Curtis
   Jack Massarone
   Adriana La Cerva
   Rene LeCours
   Phil Leotardo
   Freddie Capuano
   Yaryna Kastropovich
   Alec Kastropovich",22
"Paulie ""Walnuts"" Gualtieri","Charles ""Sonny"" Pagano
   Gallegos
   Mikey Palmice
   Salvatore ""Big Pussy"" Bonpensiero
   Valery
   Minn Matrone
   Raoul the Waiter
   Colombian Printer
   Colombian Ambusher",,9
Silvio Dante,"Jimmy Altieri
   Salvatore ""Big Pussy"" Bonpensiero
   Adriana La Cerva
   Dominic ""Fat Dom"" Gamiello
   Burt Gervasi",Jack Massarone,6
Junior Soprano,None,"Brendan Filone
   Rusty Irish
   Donnie Paduana",3
Phil Leotardo,Angelo Garepe,"Tony Blundetto
   Vito Spatafore
   Bobby Baccalieri
   Lorraine Calluzzo
   Jason Evanina
   Rusty Millio
   Doc Santoro
   Eddie Pietro
   Doc Santoro's Bodyguard",10
Tony Blundetto,"Joe Peeps
   Heather
   Billy Leotardo",None,3
Ralph Cifaretto,Tracee,"Jackie Aprile, Jr.",2
Salvatore Bonpensiero,"Jimmy Bones
   Matthew Bevilaqua",None,2
Vito Spatafore,"Car civilian driver
   Jackie Aprile, Jr.",None,2
Bobby Baccalieri,Rene LeCours,None,1
Janice Soprano,Richie Aprile,None,1
