date,category,value
2023.00479,Other,1124
2023.00479,Star,3341
2023.00205,Other,1124
2023.00205,Star,3341
2022.99932,Other,1124
2022.99932,Star,3341
2022.99658,Other,1124
2022.99658,Star,3341
2022.99384,Other,1123
2022.99384,Star,3341
2022.9911,Other,1123
2022.9911,Star,3341
2022.98836,Other,1123
2022.98836,Star,3287
2022.98563,Other,1121
2022.98563,Star,3287
2022.98289,Other,1122
2022.98289,Star,3287
2022.98015,Other,1122
2022.98015,Star,3287
2022.97741,Other,1122
2022.97741,Star,3287
2022.97467,Other,1122
2022.97467,Star,3287
2022.97194,Other,1122
2022.97194,Star,3287
2022.9692,Other,1122
2022.9692,Star,3287
2022.96646,Other,1122
2022.96646,Star,3287
2022.96372,Other,1122
2022.96372,Star,3287
2022.96099,Other,1123
2022.96099,Star,3287
2022.95825,Other,1123
2022.95825,Star,3233
2022.95551,Other,1122
2022.95551,Star,3233
2022.95277,Other,1122
2022.95277,Star,3233
2022.95003,Other,1116.5
2022.95003,Star,3233.5
2022.9473,Other,1116
2022.9473,Star,3234
2022.94456,Other,1116
2022.94456,Star,3234
2022.94182,Other,1117
2022.94182,Star,3234
2022.93908,Other,1119
2022.93908,Star,3234
2022.93634,Other,1110
2022.93634,Star,3234
2022.93361,Other,1078
2022.93361,Star,3234
2022.93087,Other,1077
2022.93087,Star,3234
2022.92813,Other,1077
2022.92813,Star,3234
2022.92539,Other,1077
2022.92539,Star,3234
2022.92266,Other,1077
2022.92266,Star,3234
2022.91992,Other,1077
2022.91992,Star,3234
2022.91718,Other,1077
2022.91718,Star,3234
2022.91444,Other,1078
2022.91444,Star,3234
2022.9117,Other,1078
2022.9117,Star,3234
2022.90897,Other,1077
2022.90897,Star,3234
2022.90623,Other,1078
2022.90623,Star,3234
2022.90349,Other,1074
2022.90349,Star,3234
2022.90075,Other,1073
2022.90075,Star,3234
2022.89802,Other,1073
2022.89802,Star,3234
2022.89528,Other,1073
2022.89528,Star,3234
2022.89254,Other,1072
2022.89254,Star,3235
2022.8898,Other,1071
2022.8898,Star,3236
2022.88706,Other,1072
2022.88706,Star,3236
2022.88433,Other,1073
2022.88433,Star,3236
2022.88159,Other,1073
2022.88159,Star,3236
2022.87885,Other,1073
2022.87885,Star,3236
2022.87611,Other,1073
2022.87611,Star,3236
2022.87337,Other,1074
2022.87337,Star,3236
2022.87064,Other,1076
2022.87064,Star,3236
2022.8679,Other,1079
2022.8679,Star,3236
2022.86516,Other,1079
2022.86516,Star,3236
2022.86242,Other,1077.5
2022.86242,Star,3236.5
2022.85969,Other,1075.2
2022.85969,Star,3237.8
2022.85695,Other,1074.4
2022.85695,Star,3238.7
2022.85421,Other,1075
2022.85421,Star,3239
2022.85147,Other,1074.5
2022.85147,Star,3239.5
2022.84873,Other,1072
2022.84873,Star,3240
2022.846,Other,1072
2022.846,Star,3240
2022.84326,Other,1072
2022.84326,Star,3240
2022.84052,Other,1072
2022.84052,Star,3240
2022.83778,Other,1072
2022.83778,Star,3240
2022.83504,Other,1073
2022.83504,Star,3240
2022.83231,Other,1072.5
2022.83231,Star,3240.5
2022.82957,Other,1070
2022.82957,Star,3241
2022.82683,Other,1071.5
2022.82683,Star,3241.5
2022.82409,Other,1071
2022.82409,Star,3242
2022.82136,Other,1072
2022.82136,Star,3189
2022.81862,Other,1072
2022.81862,Star,3189
2022.81588,Other,1070
2022.81588,Star,3189
2022.81314,Other,1069.3
2022.81314,Star,3190.7
2022.8104,Other,1072.1999999999998
2022.8104,Star,3191.8
2022.80767,Other,1073
2022.80767,Star,3193
2022.80493,Other,1040
2022.80493,Star,3193
2022.80219,Other,1037
2022.80219,Star,3193
2022.79945,Other,1039
2022.79945,Star,3139
2022.79671,Other,1038.5
2022.79671,Star,3139.5
2022.79398,Other,1038
2022.79398,Star,3140
2022.79124,Other,1039
2022.79124,Star,3140
2022.7885,Other,1039
2022.7885,Star,3140
2022.78576,Other,1039
2022.78576,Star,3140
2022.78303,Other,1035
2022.78303,Star,3140
2022.78029,Other,1035
2022.78029,Star,3140
2022.77755,Other,1034
2022.77755,Star,3140
2022.77481,Other,1033
2022.77481,Star,3141
2022.77207,Other,1032
2022.77207,Star,3142
2022.76934,Other,1032
2022.76934,Star,3142
2022.7666,Other,1032
2022.7666,Star,3142
2022.76386,Other,1032
2022.76386,Star,3143
2022.76112,Other,1032
2022.76112,Star,3091
2022.75838,Other,1031
2022.75838,Star,3091
2022.75565,Other,1031
2022.75565,Star,3091
2022.75291,Other,1031
2022.75291,Star,3091
2022.75017,Other,1032
2022.75017,Star,3091
2022.74743,Other,1031
2022.74743,Star,3091
2022.7447,Other,1031
2022.7447,Star,3091
2022.74196,Other,1032
2022.74196,Star,3091
2022.73922,Other,1033
2022.73922,Star,3091
2022.73648,Other,1030
2022.73648,Star,3091
2022.73374,Other,1025
2022.73374,Star,3091
2022.73101,Other,1025
2022.73101,Star,3091
2022.72827,Other,1023
2022.72827,Star,3039
2022.72553,Other,1023
2022.72553,Star,3039
2022.72279,Other,1023
2022.72279,Star,3039
2022.72005,Other,1021
2022.72005,Star,3039
2022.71732,Other,1021
2022.71732,Star,3039
2022.71458,Other,1020
2022.71458,Star,2985
2022.71184,Other,1020
2022.71184,Star,2985
2022.7091,Other,1020
2022.7091,Star,2985
2022.70637,Other,1021
2022.70637,Star,2985
2022.70363,Other,1020
2022.70363,Star,2985
2022.70089,Other,1020.5
2022.70089,Star,2985.5
2022.69815,Other,1020
2022.69815,Star,2986
2022.69541,Other,1019.6999999999999
2022.69541,Star,2986.3
2022.69268,Other,1018.3
2022.69268,Star,2953.7
2022.68994,Other,1018
2022.68994,Star,2954
2022.6872,Other,1018
2022.6872,Star,2954
2022.68446,Other,1017.6999999999999
