boat,attribute,value,proportion
Boat ?,Female Crew,1,0.03571428571428571
Boat ?,Male Crew,10,0.35714285714285715
Boat ?,Child - Class I,1,0.03571428571428571
Boat ?,Child - Class II ,1,0.03571428571428571
Boat ?,Female - Class II,4,0.14285714285714285
Boat ?,Male - Class II,1,0.03571428571428571
Boat ?,Female - Class III,9,0.32142857142857145
Boat ?,Male - Class III,1,0.03571428571428571
Boat 7,Male Crew,3,0.046153846153846156
Boat 7,Empty Seat,-40,-0.6153846153846154
Boat 7,Female - Class I,10,0.15384615384615385
Boat 7,Male - Class I,12,0.18461538461538463
Boat 5,Female Crew,2,0.03076923076923077
Boat 5,Male Crew,5,0.07692307692307693
Boat 5,Empty Seat,-29,-0.4461538461538462
Boat 5,Child - Class I,1,0.015384615384615385
Boat 5,Female - Class I,15,0.23076923076923078
Boat 5,Male - Class I,13,0.2
Boat 3,Male Crew,12,0.18461538461538463
Boat 3,Empty Seat,-26,-0.4
Boat 3,Child - Class I,1,0.015384615384615385
Boat 3,Female - Class I,14,0.2153846153846154
Boat 3,Male - Class I,12,0.18461538461538463
Boat 8,Male Crew,3,0.046153846153846156
Boat 8,Empty Seat,-39,-0.6
Boat 8,Female - Class I,23,0.35384615384615387
Boat 1,Male Crew,7,0.175
Boat 1,Empty Seat,-28,-0.7
Boat 1,Female - Class I,2,0.05
Boat 1,Male - Class I,3,0.075
Boat 6,Female Crew,2,0.03076923076923077
Boat 6,Male Crew,2,0.03076923076923077
Boat 6,Empty Seat,-39,-0.6
Boat 6,Female - Class I,20,0.3076923076923077
Boat 6,Male - Class I,1,0.015384615384615385
Boat 6,Male - Class III,1,0.015384615384615385
Boat 16,Female Crew,5,0.07692307692307693
Boat 16,Male Crew,5,0.07692307692307693
Boat 16,Empty Seat,-32,-0.49230769230769234
Boat 16,Female - Class II,3,0.046153846153846156
Boat 16,Female - Class III,18,0.27692307692307694
Boat 16,Male - Class III,2,0.03076923076923077
Boat 12,Female Crew,1,0.015384615384615385
Boat 12,Male Crew,2,0.03076923076923077
Boat 12,Empty Seat,-44,-0.676923076923077
Boat 12,Female - Class II,16,0.24615384615384617
Boat 12,Female - Class III,1,0.015384615384615385
Boat 12,Male - Class III,1,0.015384615384615385
Boat 14,Male Crew,9,0.13846153846153847
Boat 14,Empty Seat,-23,-0.35384615384615387
Boat 14,Female - Class I,4,0.06153846153846154
Boat 14,Child - Class II ,8,0.12307692307692308
Boat 14,Female - Class II,14,0.2153846153846154
Boat 14,Male - Class II,2,0.03076923076923077
