year,value
2018,10.6
2017,10.8
2016,10.8
2015,11.1
2014,11.2
2013,11.3
2012,11.3
2011,11.9
2010,12
2009,12.4
2008,12.5
2007,12.2
2006,12.1
2005,12.5
2004,12.6
2003,13
2002,13.5
2001,13.7
2000,13.6
1999,14
1998,14.1
1997,14.2
1996,14.7
1995,15.1
1994,15.7
1993,16
1992,16
1991,16.3
1990,16.3
1989,16.6
1988,17
1987,17.3
1986,17.7
1985,18.2
1984,19.1
1983,20.3
1982,21
1981,21.7
1980,23.3
1979,24.4
1978,23.4
1977,24.1
1976,24.5
1975,24.6
1974,26.2
1973,26.6
1972,26.6
1971,27.2
1970,27.8
1969,28
1968,28.2
1967,28.3
1966,28.4
1965,28.9
1964,29.3
