group,label,freq
Infants <1,0-1,16467
Infants <1,0-1,16467
Infants <1,0-1,16467
Infants <1,0-1,16467
Infants <1,0-1,16467
Infants <1,0-1,16467
Infants <1,0-1,16467
Infants <1,0-1,16467
Infants <1,0-1,16467
Infants <1,0-1,16467
Infants <1,0-1,16467
Infants <1,0-1,16467
Infants <1,0-1,16467
Infants <1,0-1,16467
Infants <1,0-1,16467
Infants <1,0-1,16467
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Children <11,1-11,30098
Teens 12-17,12-17,20354
Teens 12-17,12-17,20354
Teens 12-17,12-17,20354
Teens 12-17,12-17,20354
Teens 12-17,12-17,20354
Teens 12-17,12-17,20354
Teens 12-17,12-17,20354
Teens 12-17,12-17,20354
Teens 12-17,12-17,20354
Teens 12-17,12-17,20354
Teens 12-17,12-17,20354
Teens 12-17,12-17,20354
Teens 12-17,12-17,20354
Teens 12-17,12-17,20354
Teens 12-17,12-17,20354
Teens 12-17,12-17,20354
Teens 12-17,12-17,20354
Teens 12-17,12-17,20354
Teens 12-17,12-17,20354
Teens 12-17,12-17,20354
Adults 18+,18+,12456
Adults 18+,18+,12456
Adults 18+,18+,12456
Adults 18+,18+,12456
Adults 18+,18+,12456
Adults 18+,18+,12456
Adults 18+,18+,12456
Adults 18+,18+,12456
Adults 18+,18+,12456
Adults 18+,18+,12456
Adults 18+,18+,12456
Adults 18+,18+,12456
Elderly 65+,65+,12456
Elderly 65+,65+,12456
Elderly 65+,65+,12456
Elderly 65+,65+,12456
Elderly 65+,65+,12456
Elderly 65+,65+,12456
Elderly 65+,65+,12456
Elderly 65+,65+,12456
Elderly 65+,65+,12456
Elderly 65+,65+,12456
Elderly 65+,65+,12456
Elderly 65+,65+,12456
