Name,Very Favorable %,Somewhat Favorable %,Somewhat Unfavorable %,Very Unfavorable %,Don’t know %,Have not heard of them %,First Inauguration Date,Portrait URL
George Washington,44,26,6,4,18,3,1789-04-30,"https://commons.wikimedia.org/wiki/File:Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg"
John Adams,16,30,7,4,37,5,1797-03-04,"https://commons.wikimedia.org/wiki/File:John_Adams_A18236.jpg"
Thomas Jefferson,28,34,10,5,23,1,1801-03-04,"https://commons.wikimedia.org/wiki/File:Thomas_Jefferson_by_Rembrandt_Peale,_1800.jpg"
James Madison,12,27,5,4,43,9,1809-03-04,"https://commons.wikimedia.org/wiki/File:James_Madison.jpg"
James Monroe,8,21,8,4,49,10,1817-03-04,"https://commons.wikimedia.org/wiki/File:James_Monroe_White_House_portrait_1819.jpg"
John Quincy Adams,13,31,5,4,41,6,1825-03-04,"https://commons.wikimedia.org/wiki/File:JQA_Photo.tif"
Andrew Jackson,11,23,12,17,32,5,1829-03-04,"https://commons.wikimedia.org/wiki/File:Andrew_jackson_head.jpg"
Martin Van Buren,3,12,10,4,54,18,1837-03-04,"https://commons.wikimedia.org/wiki/File:Martin_Van_Buren_edit.jpg"
William Henry Harrison,3,15,9,5,55,14,1841-03-04,"https://commons.wikimedia.org/wiki/File:William_Henry_Harrison_daguerreotype_edit.jpg"
John Tyler,3,11,10,4,51,21,1841-04-04,"https://commons.wikimedia.org/wiki/File:John_Tyler,_Jr.jpg"
James K. Polk,4,12,9,8,55,13,1845-03-04,"https://commons.wikimedia.org/wiki/File:JKP.jpg"
Zachary Taylor,2,14,10,3,53,18,1849-03-04,"https://commons.wikimedia.org/wiki/File:Zachary_Taylor_restored_and_cropped.jpg"
Millard Fillmore,1,10,9,5,53,21,1850-07-09,"https://commons.wikimedia.org/wiki/File:Fillmore.jpg"
Franklin Pierce,3,12,10,5,53,18,1853-03-04,"https://commons.wikimedia.org/wiki/File:Mathew_Brady_-_Franklin_Pierce_-_alternate_crop_(cropped).jpg"
James Buchanan,3,12,12,9,52,14,1857-03-04,"https://commons.wikimedia.org/wiki/File:James_Buchanan.jpg"
Abraham Lincoln,56,24,6,3,11,1,1861-03-04,"https://commons.wikimedia.org/wiki/File:Abraham_Lincoln_O-77_matte_collodion_print.jpg"
Andrew Johnson,6,17,13,12,43,8,1865-04-15,"https://commons.wikimedia.org/wiki/File:Andrew_Johnson_photo_portrait_head_and_shoulders,_c1870-1880-Edit1.jpg"
Ulysses S. Grant,14,30,9,6,34,7,1869-03-04,"https://commons.wikimedia.org/wiki/File:Ulysses_S_Grant_by_Brady_c1870-restored.jpg"
Rutherford B. Hayes,4,14,9,6,54,13,1877-03-04,"https://commons.wikimedia.org/wiki/File:President_Rutherford_Hayes_1870_-_1880_Restored.jpg"
James A. Garfield,4,16,9,5,54,12,1881-03-04,"https://commons.wikimedia.org/wiki/File:James_Abram_Garfield,_photo_portrait_seated.jpg"
Chester A. Arthur,3,10,8,5,48,27,1881-09-19,"https://commons.wikimedia.org/wiki/File:Chester_Alan_Arthur.jpg"
Grover Cleveland,4,17,12,6,47,14,1885-03-04,"https://commons.wikimedia.org/wiki/File:Grover_Cleveland_-_NARA_-_518139_(cropped).jpg"
Benjamin Harrison,3,13,10,4,54,15,1889-03-04,"https://commons.wikimedia.org/wiki/File:Benjamin_Harrison,_head_and_shoulders_bw_photo,_1896.jpg"
William McKinley,2,16,11,4,53,14,1897-03-04,"https://commons.wikimedia.org/wiki/File:Mckinley.jpg"
Theodore Roosevelt,25,37,8,4,23,3,1901-09-14,"https://commons.wikimedia.org/wiki/File:Theodore_Roosevelt_by_the_Pach_Bros.jpg"
William Howard Taft,3,18,13,6,52,8,1909-03-04,"https://commons.wikimedia.org/wiki/File:William_Howard_Taft_-_Harris_and_Ewing.jpg"
Woodrow Wilson,7,25,14,11,39,4,1913-03-04,"https://commons.wikimedia.org/wiki/File:Thomas_Woodrow_Wilson,_Harris_%26_Ewing_bw_photo_portrait,_1919.jpg"
Warren G. Harding,3,12,12,11,46,16,1921-03-04,"https://commons.wikimedia.org/wiki/File:Warren_G_Harding-Harris_%26_Ewing.jpg"
Calvin Coolidge,6,18,11,8,47,10,1923-08-02,"https://commons.wikimedia.org/wiki/File:Calvin_Coolidge_cph.3g10777_(cropped).jpg"
Herbert Hoover,5,20,16,14,37,8,1929-03-04,"https://commons.wikimedia.org/wiki/File:President_Hoover_portrait.jpg"
Franklin D. Roosevelt,26,32,9,8,22,3,1933-03-04,"https://commons.wikimedia.org/wiki/File:FDR_1944_Color_Portrait.jpg"
Harry S. Truman,17,34,10,4,28,5,1945-04-12,"https://commons.wikimedia.org/wiki/File:TRUMAN_58-766-06_CROPPED.jpg"
Dwight D. Eisenhower,22,36,7,4,25,7,1953-01-20,"https://commons.wikimedia.org/wiki/File:Dwight_D._Eisenhower,_official_photo_portrait,_May_29,_1959.jpg"
John F. Kennedy,35,38,10,4,12,2,1961-01-20,"https://commons.wikimedia.org/wiki/File:John_F._Kennedy,_White_House_color_photo_portrait.jpg"
Lyndon B. Johnson,9,28,18,17,21,7,1963-11-22,"https://commons.wikimedia.org/wiki/File:37_Lyndon_Johnson_3x4.jpg"
Richard Nixon,8,19,23,34,14,3,1969-01-20,"https://commons.wikimedia.org/wiki/File:Richard_Nixon_presidential_portrait_(1).jpg"
Gerald Ford,7,34,22,8,25,4,1974-08-09,"https://commons.wikimedia.org/wiki/File:Gerald_Ford_presidential_portrait.jpg"
Jimmy Carter,23,22,12,20,18,5,1977-01-20,"https://commons.wikimedia.org/wiki/File:JimmyCarterPortrait2.jpg"
Ronald Reagan,31,23,14,17,12,3,1981-01-20,"https://commons.wikimedia.org/wiki/File:Official_Portrait_of_President_Reagan_1981.jpg"
George H. W. Bush,11,33,27,17,11,1,1989-01-20,"https://commons.wikimedia.org/wiki/File:George_H._W._Bush_presidential_portrait_(cropped).jpg"
Bill Clinton,15,30,20,22,10,2,1993-01-20,"https://commons.wikimedia.org/wiki/File:Bill_Clinton.jpg"
George W. Bush,10,32,24,19,11,4,2001-01-20,"https://commons.wikimedia.org/wiki/File:George-W-Bush.jpeg"
Barack Obama,36,18,10,31,4,1,2009-01-20,"https://commons.wikimedia.org/wiki/File:Official_portrait_of_Barack_Obama.jpg"
Donald Trump,23,16,7,47,5,1,2017-01-20,"https://commons.wikimedia.org/wiki/File:Donald_Trump_official_portrait.jpg"
Joe Biden,26,21,9,35,6,2,2021-01-20,"https://commons.wikimedia.org/wiki/File:Joe_Biden_presidential_portrait.jpg"
