date,accept votes,up and down votes,upvotes,downvotes
2018-02-08,3347,65834,57278,8556
2018-02-09,2935,58620,50446,8174
2018-02-10,1633,31048,25794,5254
2018-02-11,1722,31417,26219,5198
2018-02-12,3155,59790,51207,8583
2018-02-13,3108,63413,55242,8171
2018-02-14,3045,62839,54400,8439
2018-02-15,3167,63569,55187,8382
2018-02-16,2801,58191,50186,8005
2018-02-17,1584,30001,24990,5011
2018-02-18,1782,30833,25527,5306
2018-02-19,2812,56685,48607,8078
2018-02-20,3102,63637,54991,8646
2018-02-21,3206,66063,57693,8370
2018-02-22,3250,65087,56291,8796
2018-02-23,2829,57122,49136,7986
2018-02-24,1661,30734,25261,5473
2018-02-25,1784,30595,25456,5139
2018-02-26,3051,61430,52712,8718
2018-02-27,3229,66097,57406,8691
2018-02-28,3184,65813,57381,8432
2018-03-01,3104,62738,54494,8244
2018-03-02,2810,56749,48922,7827
2018-03-03,1674,31164,26003,5161
2018-03-04,1784,32207,26939,5268
2018-03-05,3189,61370,52884,8486
2018-03-06,3194,66370,57653,8717
2018-03-07,3117,66380,57747,8633
2018-03-08,3125,65408,56662,8746
2018-03-09,2911,59034,51133,7901
2018-03-10,1615,31088,26166,4922
2018-03-11,1749,31094,25962,5132
2018-03-12,3177,62100,53808,8292
2018-03-13,3227,67044,58112,8932
2018-03-14,3278,67388,58638,8750
2018-03-15,3242,66666,58349,8317
2018-03-16,2991,60415,52184,8231
2018-03-17,1631,30185,24972,5213
2018-03-18,1748,31949,26514,5435
2018-03-19,3323,62218,53636,8582
2018-03-20,3287,67482,58579,8903
2018-03-21,3334,69411,60451,8960
2018-03-22,3222,67902,58815,9087
2018-03-23,2955,61227,52970,8257
2018-03-24,1681,31475,26115,5360
2018-03-25,1813,31657,26491,5166
2018-03-26,3171,64322,55311,9011
2018-03-27,3194,69260,60237,9023
2018-03-28,3303,70007,60547,9460
2018-03-29,3107,64897,55635,9262
2018-03-30,2432,48272,41096,7176
2018-03-31,1531,29309,24392,4917
2018-04-01,1559,28738,23454,5284
2018-04-02,2531,50655,43776,6879
2018-04-03,3104,65591,56895,8696
2018-04-04,3296,68832,59632,9200
2018-04-05,3237,67439,58458,8981
2018-04-06,2889,60791,52241,8550
2018-04-07,1599,30331,25351,4980
2018-04-08,1635,30767,25675,5092
2018-04-09,2932,63293,54597,8696
2018-04-10,3145,67600,58839,8761
2018-04-11,3201,67903,59084,8819
2018-04-12,3087,67727,59178,8549
2018-04-13,2953,60173,52055,8118
2018-04-14,1622,29150,24529,4621
2018-04-15,1673,31084,25752,5332
