headline,year,date,source,phrase,date_parsed,month,month_year,month_year_parsed
Alexandria Planners Back Watergate Bid,1972,1972-03-02 00:00:00,WaPo,watergate,1972-03-02T05:00Z,3,Mar 1972,1972-03-01T05:00Z
Watergate Residents Sue for $1.5 Million: Watergate Residents Sue Builder,1972,1972-03-03 00:00:00,WaPo,watergate,1972-03-03T05:00Z,3,Mar 1972,1972-03-01T05:00Z
H.H.H.: ‘What this country needs is a nice man as President of the United States’,1972,1972-05-28T05:00:00.000000000,NYT,president,1972-05-28T04:00Z,5,May 1972,1972-05-01T04:00Z
Ex‐G.O.P. Aide Linked to Political Raids,1972,1972-06-20T05:00:00.000000000,NYT,political,1972-06-20T04:00Z,6,Jun 1972,1972-06-01T04:00Z
Ex‐G.O.P. Aide Linked to Political Raids,1972,1972-06-20T05:00:00.000000000,NYT,aide,1972-06-20T04:00Z,6,Jun 1972,1972-06-01T04:00Z
Ex‐G.O.P. Aide Rebuffs F.B.1. Queries on Break‐In,1972,1972-06-21T05:00:00.000000000,NYT,aide,1972-06-21T04:00Z,6,Jun 1972,1972-06-01T04:00Z
"Democrats, GOP Tighten Security After Watergate 'Bugging' Case: Democrats, GOP Tighten Up Security",1972,1972-06-22 00:00:00,WaPo,watergate,1972-06-22T04:00Z,6,Jun 1972,1972-06-01T04:00Z
4 Being Hunted in Inquiry Into Raid on Democrats,1972,1972-06-22T05:00:00.000000000,NYT,inquiry,1972-06-22T04:00Z,6,Jun 1972,1972-06-01T04:00Z
"Democrats, GOP Tighten Security After Watergate 'Bugging' Case: Democrats, GOP Tighten Up Security",1972,1972-06-22 00:00:00,WaPo,gop,1972-06-22T04:00Z,6,Jun 1972,1972-06-01T04:00Z
"Suspect in Raid on Democrats Drew $89,000 From Bank, Hearing Is Told",1972,1972-06-24T05:00:00.000000000,NYT,democrats,1972-06-24T04:00Z,6,Jun 1972,1972-06-01T04:00Z
The Watergate Caper,1972,1972-06-25 00:00:00,WaPo,watergate,1972-06-25T04:00Z,6,Jun 1972,1972-06-01T04:00Z
"Nixon, Mitchell Have Set Tone for Campaign Dirty Work",1972,1972-06-27T00:00:00.000000000,LAT,campaign,1972-06-27T04:00Z,6,Jun 1972,1972-06-01T04:00Z
"Nixon, Mitchell Have Set Tone for Campaign Dirty Work",1972,1972-06-27T00:00:00.000000000,LAT,mitchell,1972-06-27T04:00Z,6,Jun 1972,1972-06-01T04:00Z
Inside a Watergate Trash Can,1972,1972-07-01 00:00:00,WaPo,watergate,1972-07-01T04:00Z,7,Jul 1972,1972-07-01T04:00Z
Figure in Raid on Democrats Is Reported to Have Asked a Friend to Seek White House Assistance,1972,1972-07-07T05:00:00.000000000,NYT,house,1972-07-07T04:00Z,7,Jul 1972,1972-07-01T04:00Z
Figure in Raid on Democrats Is Reported to Have Asked a Friend to Seek White House Assistance,1972,1972-07-07T05:00:00.000000000,NYT,white,1972-07-07T04:00Z,7,Jul 1972,1972-07-01T04:00Z
Figure in Raid on Democrats Is Reported to Have Asked a Friend to Seek White House Assistance,1972,1972-07-07T05:00:00.000000000,NYT,white house,1972-07-07T04:00Z,7,Jul 1972,1972-07-01T04:00Z
Figure in Raid on Democrats Is Reported to Have Asked a Friend to Seek White House Assistance,1972,1972-07-07T05:00:00.000000000,NYT,democrats,1972-07-07T04:00Z,7,Jul 1972,1972-07-01T04:00Z
Expensive Line‐Up of Legal Talent Enters Case of Raid on Democratic Office,1972,1972-07-10T05:00:00.000000000,NYT,case,1972-07-10T04:00Z,7,Jul 1972,1972-07-01T04:00Z
Bugging Case Defense Move For Bar Support Is Blocked: Move Bared To Get Bar Unit in Case,1972,1972-07-18 00:00:00,WaPo,case,1972-07-18T04:00Z,7,Jul 1972,1972-07-01T04:00Z
INVESTIGATIONS: The Watergate Probe,1972,1972-07-24T00:00:00.000000000,Time,watergate,1972-07-24T04:00Z,7,Jul 1972,1972-07-01T04:00Z
Calls Were Made to Home of Nixon Election Aide From Phones of Man Held in Democratic Break‐In,1972,1972-07-26T05:00:00.000000000,NYT,nixon,1972-07-26T04:00Z,7,Jul 1972,1972-07-01T04:00Z
Calls Were Made to Home of Nixon Election Aide From Phones of Man Held in Democratic Break‐In,1972,1972-07-26T05:00:00.000000000,NYT,aide,1972-07-26T04:00Z,7,Jul 1972,1972-07-01T04:00Z
Calls Were Made to Home of Nixon Election Aide From Phones of Man Held in Democratic Break‐In,1972,1972-07-26T05:00:00.000000000,NYT,election,1972-07-26T04:00Z,7,Jul 1972,1972-07-01T04:00Z
Stans Denies GOP Money Funded Watergate Break-In: Stans Denies Funds Linked To Break-In,1972,1972-08-09 00:00:00,WaPo,watergate,1972-08-09T04:00Z,8,Aug 1972,1972-08-01T04:00Z
GOP Has Explaining to Do in Watergate Caper,1972,1972-08-09T00:00:00.000000000,LAT,watergate,1972-08-09T04:00Z,8,Aug 1972,1972-08-01T04:00Z
Stans Denies GOP Money Funded Watergate Break-In: Stans Denies Funds Linked To Break-In,1972,1972-08-09 00:00:00,WaPo,gop,1972-08-09T04:00Z,8,Aug 1972,1972-08-01T04:00Z
GOP Loses Bid Delay Bugging Suit: GOP Loses in Bid to Delay 'Bug' Suit,1972,1972-08-12 00:00:00,WaPo,gop,1972-08-12T04:00Z,8,Aug 1972,1972-08-01T04:00Z
Appeal Is Set In Watergate Case Decision,1972,1972-08-15 00:00:00,WaPo,watergate,1972-08-15T04:00Z,8,Aug 1972,1972-08-01T04:00Z
Appeal Is Set In Watergate Case Decision,1972,1972-08-15 00:00:00,WaPo,case,1972-08-15T04:00Z,8,Aug 1972,1972-08-01T04:00Z
The Watergate Caper as Keynote to the Republican Campaign,1972,1972-08-17T00:00:00.000000000,LAT,watergate,1972-08-17T04:00Z,8,Aug 1972,1972-08-01T04:00Z
GOP Aide Says Funds Used to Study Radicals,1972,1972-08-18 00:00:00,WaPo,says,1972-08-18T04:00Z,8,Aug 1972,1972-08-01T04:00Z
GOP Aide Says Funds Used to Study Radicals,1972,1972-08-18 00:00:00,WaPo,aide,1972-08-18T04:00Z,8,Aug 1972,1972-08-01T04:00Z
Shriver Says ‘Bug’ Was Put in Office; Partner Disagrees,1972,1972-08-19T05:00:00.000000000,NYT,says,1972-08-19T04:00Z,8,Aug 1972,1972-08-01T04:00Z
House Banking Committee To Study Watergate Case,1972,1972-08-20T05:00:00.000000000,NYT,watergate,1972-08-20T04:00Z,8,Aug 1972,1972-08-01T04:00Z
The Watergate Caper: Does the Key Lie in Havana?,1972,1972-08-20T00:00:00.000000000,LAT,watergate,1972-08-20T04:00Z,8,Aug 1972,1972-08-01T04:00Z
The White House watch over TV and the press,1972,1972-08-20T05:00:00.000000000,NYT,house,1972-08-20T04:00Z,8,Aug 1972,1972-08-01T04:00Z
The White House watch over TV and the press,1972,1972-08-20T05:00:00.000000000,NYT,white,1972-08-20T04:00Z,8,Aug 1972,1972-08-01T04:00Z
The White House watch over TV and the press,1972,1972-08-20T05:00:00.000000000,NYT,white house,1972-08-20T04:00Z,8,Aug 1972,1972-08-01T04:00Z
The White House watch over TV and the press,1972,1972-08-20T05:00:00.000000000,NYT,tv,1972-08-20T04:00Z,8,Aug 1972,1972-08-01T04:00Z
The Watergate Specter,1972,1972-08-21 00:00:00,WaPo,watergate,1972-08-21T04:00Z,8,Aug 1972,1972-08-01T04:00Z
Judge Seals Watergate Testimony: Watergate Case Testimony Sealed,1972,1972-08-23 00:00:00,WaPo,watergate,1972-08-23T04:00Z,8,Aug 1972,1972-08-01T04:00Z
Judge Seals Watergate Testimony: Watergate Case Testimony Sealed,1972,1972-08-23 00:00:00,WaPo,case,1972-08-23T04:00Z,8,Aug 1972,1972-08-01T04:00Z
The Watergate Caper Is the Only Issue That Could Bug Mr. Nixon,1972,1972-08-24T00:00:00.000000000,LAT,watergate,1972-08-24T04:00Z,8,Aug 1972,1972-08-01T04:00Z
Judge Wants to Start Watergate Trial: Judge Seeks Way To Open 'Bug' Suit Prior to Election,1972,1972-08-25 00:00:00,WaPo,watergate,1972-08-25T04:00Z,8,Aug 1972,1972-08-01T04:00Z
Judge Wants to Start Watergate Trial: Judge Seeks Way To Open 'Bug' Suit Prior to Election,1972,1972-08-25 00:00:00,WaPo,judge,1972-08-25T04:00Z,8,Aug 1972,1972-08-01T04:00Z
Nixon Donor Gets Charter For Banking: Nixon Donor Gets a Charter For Minnesota National Bank,1972,1972-08-26 00:00:00,WaPo,nixon,1972-08-26T04:00Z,8,Aug 1972,1972-08-01T04:00Z
Subpoena Use Hinted in Bugging in Capital: Rep. Patman Says He Will Insist That All 'Watergate Caper' Findings Be Revealed,1972,1972-08-26T00:00:00.000000000,LAT,says,1972-08-26T04:00Z,8,Aug 1972,1972-08-01T04:00Z
STERLING INSTITUTE: AT WATERGATE ANNOUNCES:,1972,1972-08-27 00:00:00,WaPo,watergate,1972-08-27T04:00Z,8,Aug 1972,1972-08-01T04:00Z
G.A.O. REPORT ASKS JUSTICE INQUIRY INTO G.O.P. FUNDS,1972,1972-08-27T05:00:00.000000000,NYT,inquiry,1972-08-27T04:00Z,8,Aug 1972,1972-08-01T04:00Z
G.A.O. REPORT ASKS JUSTICE INQUIRY INTO G.O.P. FUNDS,1972,1972-08-27T05:00:00.000000000,NYT,report,1972-08-27T04:00Z,8,Aug 1972,1972-08-01T04:00Z
