Most searched Rank,Name,Birth Year,Date of Death,Subject Area,Ethnicity,Image_links
1, Marie Curie ,1867,1934,Science,White,https://upload.wikimedia.org/wikipedia/commons/7/7e/Marie_Curie_c1920.jpg
2, Rosa Parks ,1913,2005,Activism,Black,https://www.essence.com/wp-content/uploads/2017/02/1487191427/Rosa-Parks.jpg
3, Emmeline Pankhurst ,1858,1928,Activism,White,https://www.factinate.com/wp-content/uploads/2020/08/50081109971_c9288bd517_k.jpg
4, Ada Lovelace ,1815,1852,Maths,White,https://www.historyanswers.co.uk/wp-content/uploads/2015/10/Ada_Lovelace_portrait.jpg
5, Rosalind Franklin ,1920,1958,Science,White,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj582uNysfMpvUbojEMYIVGp78xEuhuopSFquQvtHZny3jj6iw5X7vXgvE5yA97wmaFvn7eKYNgYdzoBTc3knze65ezp4tl8R1IMj2p9vrI8ASRyeLeQjtr9KAPlxRKEjJFpl-4yG0KwBStrs0yR6ij8o7tToE54bmFcIhtSmoLbRveZC3pB6M4ll4U5g/w227-h320/default.jpg
6, Margaret Thatcher ,1925,2013,Politics,White,https://2.bp.blogspot.com/-4emEjBOTfUw/V5WHsZ8AkBI/AAAAAAAACdg/hwljvRmMSgoggTQ51vH7XvwuonvWrIiagCLcB/s1600/MARGARET-THATCHER.jpg
7, Angela Burdett-Coutts ,1814,1906,Philanthropy,White,https://thumbs.dreamstime.com/b/angela-burdett-coutts-st-baroness-burdett-coutts-engraving-engraved-j-wilson-published-masterpiece-library-32340922.jpg
8, Mary Wollstonecraft ,1759,1797,Activism,White,"https://www.thoughtco.com/thmb/PYNsBL0C4-8aX-DABOv-mWxCjS4=/2771x1848/filters:fill(auto,1)/Mary-Wollstonecraft-x-162279570-56aa24f45f9b58b7d000fc2b.jpg"
9, Florence Nightingale ,1820,1910,Medicine,White,https://fthmb.tqn.com/aJse_5f33WPLMyrk2sMb0rge58I=/768x0/filters:no_upscale()/2673471-56a7be0e5f9b58b7d0ed6e00.jpg
10, Marie Stopes ,1880,1958,Science,White,https://www.mariestopes.org.za/wp-content/uploads/2018/08/marie-stopes-bio.jpg
11, Eleanor of Aquitaine ,1122,1204,Politics,White,https://www.thefamouspeople.com/profiles/images/eleanor-of-aquitaine-1.jpg
12, Virgin Mary , 1st-century BC,1st-century AD,Religion,Unknown,https://jooinn.com/images/virgin-mary-1.jpg
13, Jane Austen ,1775,1817,Literature,White,https://images.mubicdn.net/images/cast_member/14965/cache-64484-1345048929/image-w856.jpg
14, Boudicca ,30AD,61AD,Politics,White,https://www.thefamouspeople.com/profiles/images/boudica-2.jpg
15, Diana  Princess of Wales,1961,1997,Philanthropy,White,imgs/mw11161_632x800.jpg
16, Amelia Earhart ,1897,1937,Exploration,White,https://cdn.britannica.com/78/164578-050-634E4E33/Amelia-Earhart.jpg
17, Queen Victoria ,1819,1901,Politics,White,https://cropper.watch.aetnd.com/cdn.watch.aetnd.com/sites/2/2018/05/HITH-5-things-you-may-not-know-about-queen-victoria.jpg
18, Josephine Butler ,1828,1906,Activism,White,https://www.thefamouspeople.com/profiles/images/josephine-butler-1.jpg
19, Mary Seacole ,1805,1881,Medicine,Black,https://www.thoughtco.com/thmb/dOJ3vSbBiwwHZxXbjZ6NnhDDZq4=/4950x3542/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-476736369-7dbd54b8504c411491dac5c1d4e3daaa.jpg
20, Mother Teresa ,1910,1997,Philanthropy,White,https://s3.amazonaws.com/faithandreasoninstitute/thecatholicthing/wp-content/uploads/2015/05/mteresa.jpg
21, Mary Shelley ,1797,1851,Literature,White,https://4.bp.blogspot.com/-ckCVFTQE4Ao/WAZOmvXDbCI/AAAAAAAAD8E/vCJdW6pQk-M5xYjGNcLMtAlrHxU3oJ1LQCLcB/s1600/mary_shelley.jpg
22, Catherine the Great ,1729,1796,Politics,White,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Catherine_II_by_F.Rokotov_after_Roslin_(1780s%2C_Hermitage)_2.jpg/453px-Catherine_II_by_F.Rokotov_after_Roslin_(1780s%2C_Hermitage)_2.jpg?20061120132657
23, Vera Atkins ,1908,2000,Military/Intelligence,White,https://historythings.com/wp-content/uploads/2017/07/Vera-Atkins.jpg
24, Cleopatra , 69 BC,30 BC,Politics,Unknown,https://upload.wikimedia.org/wikipedia/commons/a/a4/Cleopatra_VII_statue_fragment%2C_69-30_BC_-_Royal_Ontario_Museum_-_DSC09761.JPG
25, Elizabeth Fry ,1780,1845,Philanthropy,White,https://images.fineartamerica.com/images-medium-large-5/portrait-of-elizabeth-fry-1780-1845-english-school.jpg
26, Mary Anning ,1799,1847,Science,White,https://www.thefamouspeople.com/profiles/images/mary-anning-2.jpg
27, Joan of Arc ,1412,1431,Politics,Unknown but likely white,https://angelusnews.com/wp-content/uploads/2020/06/20200629T1235-1136-CNS-JOAN-OF-ARC-e1593526528473-2048x1151.jpg
28, Isabella of Castile ,1451,1504,Politics,White,https://upload.wikimedia.org/wikipedia/commons/6/63/Isabeldecastilla.jpg
