Solved,Puzzle_Date,Day_of_Week,Time_Taken,Adjusted_Time,Average Time,Average Adjusted_Time,Completed At (ET),Checks,Reveals,Constructor
True,2022-07-06,We,1341,1341,860.6,1413.1,2022-07-06 20:39:31,0,0,Sam Koperwas and Jeff Chen
True,2022-07-05,Tu,477,477,586.4,586.4,2022-07-05 13:09:46,0,0,Malgorzata Nowakowska and Eileen Williams
True,2022-07-04,Mo,597,597,432.8,432.8,2022-07-04 11:24:22,0,0,Bruce Haight
True,2022-07-03,Su,1348,1348,1867.9,3809.7,2022-07-04 13:26:48,0,0,Tom McCoy
True,2022-06-30,Th,2184,2184,1840.6,2687.1,2022-06-30 13:31:08,0,0,Samuel A. Donaldson and Doug Peterson
True,2022-06-29,We,742,742,882.5,1435.0,2022-06-29 11:05:04,0,0,Jared Goudsmit
True,2022-06-28,Tu,585,585,564.0,564.0,2022-06-28 13:24:57,0,0,Scott Graham
True,2022-06-27,Mo,279,279,436.0,436.0,2022-06-27 08:48:04,0,0,Drew Schmenner
True,2022-06-26,Su,1591,1591,1896.5,3838.3,2022-06-26 15:01:20,0,0,Matthew Stock and Finn Vigeland
False,2022-06-24,Fr,1735,4560,2011.2,2620.7,2022-06-24 16:00:15,190,0,Sophia Maymudes and Margaret Seikel
True,2022-06-23,Th,2200,2200,1715.6,2562.1,2022-06-24 15:58:53,0,0,Jeff Chen
True,2022-06-21,Tu,444,444,570.7,570.7,2022-06-21 11:05:28,0,0,Alex Eaton-Salners
True,2022-06-20,Mo,411,411,434.0,434.0,2022-06-20 09:14:13,0,0,Christopher Youngs
True,2022-06-19,Su,1520,1520,2000.1,4423.8,2022-06-19 13:30:23,0,0,Jeremy Newton
True,2022-06-17,Fr,1300,1300,2064.1,2673.6,2022-06-17 16:10:28,0,0,Pao Roy
True,2022-06-16,Th,1637,1637,1859.2,2705.7,2022-06-17 10:32:14,0,0,Parker Higgins and Ross Trudeau
True,2022-06-15,We,1144,1144,931.5,1484.0,2022-06-15 14:28:23,0,0,Rob Baker
True,2022-06-14,Tu,348,348,580.7,580.7,2022-06-14 12:44:47,0,0,Robert Won
